form,rtol,N,a1,a2,omega1,omega2,phi1,phi2,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,6.8,13.6,0.0,0.7853981633974483,(0.05171314489123357-8.363617504071509e-05j),(0.015999056867015145-2.5924803476803474e-11j),(0.12459919221955944-0.0025997953600511484j),(0.020486370816360847-0.010406124650446085j),(0.01653319221218104-4.94620777617239e-10j),(-0.0434546544518629-0.019653037108862747j),(0.008053767785152384+0.010591425308796747j),(-0.021420134641997483-3.792935185668249e-10j),(-0.019576136586370356-0.08728799883075321j),(-0.022220516273783946+0.04807404526819875j),(-0.007177187843532974-1.8328017457469093e-11j)
DS-p,1e-11,51,35.0,35.0,6.9,13.8,0.0,0.7853981633974483,(0.048752933470066755-4.183194662785886e-05j),(0.017737988538909205-2.4193835852682516e-11j),(0.14982614564812996-0.0023116316579835324j),(0.01700529292302517-0.01200657927770608j),(0.01366414436274728-4.793303898976436e-10j),(-0.0566100685435477-0.02134078721070633j),(0.006472810068291771+0.01117062266952193j),(-0.02159499417954786-3.9033987314159537e-10j),(-0.013109886265675396-0.07047933279623057j),(-0.02248291982362328+0.047984239351079185j),(-0.005797075535399413-1.8110275291371288e-11j)
DS-p,1e-11,51,35.0,35.0,7.0,14.0,0.0,0.7853981633974483,(0.045508736101845186-5.8508995253640675e-06j),(0.018945761306238165-2.35748713454677e-11j),(0.1739207712945671-0.0019998917446352525j),(0.01355617980057052-0.013281095277282846j),(0.011049479349847381-4.757163024603769e-10j),(-0.07069257151616723-0.021548502412680623j),(0.004918856797440998+0.011618610042938371j),(-0.02157935192625776-4.118910601382451e-10j),(-0.007616159042846051-0.05351172398386185j),(-0.022757579190041996+0.04783569228923261j),(-0.004368191570417845-1.8275045042341776e-11j)
DS-p,1e-11,51,35.0,35.0,7.1,14.2,0.0,0.7853981633974483,(0.042027658061636344+2.4465185096706663e-05j),(0.01962003189826305-2.287001631615727e-11j),(0.1968285167176296-0.0016702553463270973j),(0.010221998846779155-0.014263499265410378j),(0.008740982970587384-4.528472078226781e-10j),(-0.08544043806716428-0.02029038681670829j),(0.003393344915192568+0.01194123266831041j),(-0.021406215839445485-4.224089498983074e-10j),(-0.0030649139612151143-0.03645686121839345j),(-0.02304019555911478+0.04763195739837872j),(-0.0029041895237536357-1.860488530832319e-11j)
DS-p,1e-11,51,35.0,35.0,7.2,14.4,0.0,0.7853981633974483,(0.03835262612790513+4.934592097801157e-05j),(0.019772165407304663-2.2872382141832694e-11j),(0.21850865315764786-0.0013283059407977263j),(0.007071338431279853-0.014994729684930713j),(0.006779156524187006-4.172494080031676e-10j),(-0.10061304563548872-0.01760860291114523j),(0.0018970698312760963+0.012144866803512568j),(-0.021111874425058037-4.21784246785635e-10j),(0.0005769424162579663-0.019380769786760756j),(-0.023326871436059757+0.04737667042288348j),(-0.0014173558171572433-1.9837173443471788e-11j)
DS-p,1e-11,51,35.0,35.0,7.3,14.6,0.0,0.7853981633974483,(0.03452266068288782+6.90791682991787e-05j),(0.019424622400559508-2.3726151249427974e-11j),(0.23893261161515802-0.0009794173907852139j),(0.004158224872041008-0.015519813989116756j),(0.005193803654565339-2.940345954162082e-10j),(-0.11599221684290294-0.013568072843173056j),(0.00043037417716652263+0.012236310010780717j),(-0.020734019089911158-3.127123177382787e-10j),(0.003345067869910603-0.00234384188814386j),(-0.023614099672828594+0.047073539343966915j),(8.132370975326084e-05-4.1606261497003586e-11j)
DS-p,1e-11,51,35.0,35.0,7.4,14.8,0.0,0.7853981633974483,(0.030573136341313995+8.399818715121386e-05j),(0.018608556410183188-2.66533592692263e-11j),(0.2580825339118884-0.0006286578112912899j),(0.0015226051600152788-0.015885260533454612j),(0.00400473210618298-3.4097564734122795e-10j),(-0.13138280147984924-0.00825172274258706j),(-0.0010067043551061168+0.012222679719123388j),(-0.02031015053303334-3.4542788883176804e-10j),(0.005277197477133145+0.014599109369508836j),(-0.023898754406352102+0.04672632146169729j),(0.0015820957685568973-2.1971739133688173e-11j)
DS-p,1e-11,51,35.0,35.0,7.5,15.0,0.0,0.7853981633974483,(0.026536030400808656+9.447000761692048e-05j),(0.017361648417072696-2.93483691058338e-11j),(0.2759500037571643-0.0002807124590859514j),(-0.0008086879888975238-0.016136900546044525j),(0.0032225547033008384-3.2698623815316587e-10j),(-0.1466126526932548-0.0017561945989850835j),(-0.002414320536492523+0.012111315038689474j),(-0.01987627053835433-3.5852854079154496e-10j),(0.006412634194553992+0.03139875760804299j),(-0.02417808198571067+0.04633879169215868j),(0.0030763691112574015-1.753995198391227e-11j)
DS-p,1e-11,51,35.0,35.0,7.6,15.2,0.0,0.7853981633974483,(0.022440155553450913+0.00010088413072266795j),(0.015726189522793255-3.355442325381991e-11j),(0.2925349269874697+6.0174466519358745e-05j),(-0.0028206472967852642-0.01631818255466695j),(0.002849554708128358-2.977936101841956e-10j),(-0.16153213801084393+0.005811966440888086j),(-0.003792739877920617+0.011909693376747552j),(-0.019465863200920166-3.4475165240305174e-10j),(0.0067917818237669125+0.048011127503113454j),(-0.024449689277374106+0.04591470747060758j),(0.004556641645812185-1.6861849497130373e-11j)
DS-p,1e-11,51,35.0,35.0,7.7,15.4,0.0,0.7853981633974483,(0.018311379043457855+0.00010364274778721153j),(0.013747411885812244-3.7730727428951465e-11j),(0.3078445348471602+0.00039023900764907795j),(-0.004508610256673697-0.016468895609872004j),(0.002880600465220457-2.738795025554456e-10j),(-0.17601329235460847+0.014339660840568817j),(-0.005142279123316939+0.01162534577549307j),(-0.019109138232616004-3.267639750363633e-10j),(0.006455691523963066+0.06439741641442287j),(-0.024711528975654297+0.0454577716086467j),(0.006016425433814594-1.6210054485860027e-11j)
