form,rtol,a1,a2,omega1,omega2,phi,N,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1.0000000000000001e-11,35.0,35.0,17.9,35.8,1.5707963267948966,51,(-3.1805155275947683e-10+1.1168364453736923e-10j),(8.035931349601594e-11-3.162470214402407e-11j),(0.09767901458823987-0.2266108738539478j),(-9.736872833617655e-10-4.2409819015973294e-10j),(-2.6442904289825098e-11-1.3520977195061563e-10j),(-0.34665169177889255-0.012682702194874348j),(-1.844066219169882e-10-1.2464394447131433e-10j),(-1.0592220156535603e-10-6.331856372523595e-11j),(-0.43158401493863263+0.6430087716633738j),(-2.4603030029934914e-10-3.041997001518304e-10j),(6.505157523761795e-11-4.415643241484117e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,18.0,36.0,1.5707963267948966,51,(-3.1855767904185456e-10+1.1856152648190288e-10j),(8.300001457612824e-11-3.191256332242534e-11j),(0.09753507218493514-0.23349833399882403j),(-9.856673036361813e-10-4.0044717585299705e-10j),(-2.6699760024423425e-11-1.329517609389727e-10j),(-0.34695659848951566-0.007927681268018644j),(-1.785496039213852e-10-1.1876822268719334e-10j),(-1.0580327586273697e-10-6.266393920954757e-11j),(-0.43645409236124794+0.6425636233949619j),(-2.513584028418503e-10-3.0427863700888125e-10j),(6.127673368716557e-11-4.402104660247112e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,18.1,36.2,1.5707963267948966,51,(-3.3077815399934485e-10+1.1631520486360403e-10j),(8.839991699803942e-11-3.273282396769092e-11j),(0.09725864398578361-0.2403378284164402j),(-1.0076035221028706e-09-3.84215040859226e-10j),(-2.5677420259495598e-11-1.3443034578663243e-10j),(-0.3473343098279208-0.0032086078206541306j),(-1.785050423447343e-10-1.1913427189202963e-10j),(-1.0255637311606947e-10-6.294739790987948e-11j),(-0.441271986997356+0.6420822813844725j),(-2.612190880268983e-10-3.2103830704954817e-10j),(6.260418572434645e-11-4.472566032893393e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,18.2,36.4,1.5707963267948966,51,(-3.183815591809719e-10+1.23199335715779e-10j),(9.065421877800864e-11-3.2145348711996193e-11j),(0.09685323904395186-0.2471272163128404j),(-9.808052345555013e-10-3.4502512045314626e-10j),(-2.7548055850368236e-11-1.3008179230228802e-10j),(-0.3477828839317902+0.0014733881941933434j),(-1.6818411940899836e-10-1.1263099133906884e-10j),(-9.964320341060429e-11-6.057192855186053e-11j),(-0.44603814799330266+0.6415659903801183j),(-2.4303224710475746e-10-3.1521810162082886e-10j),(6.480412040321681e-11-4.3431044829401276e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,18.3,36.6,1.5707963267948966,51,(-3.3109774720107427e-10+1.174135448155783e-10j),(9.159986424965919e-11-3.2721274668155466e-11j),(0.09632232433691078-0.2538644995898909j),(-9.965686518197125e-10-3.26753101138888e-10j),(-2.1816241955324722e-11-1.3206178672364556e-10j),(-0.348300400698685+0.006117258499079568j),(-1.6500635580118939e-10-1.1146527797989414e-10j),(-9.614992135809075e-11-6.056064930455582e-11j),(-0.4507530321041766+0.641015957884575j),(-2.4387180816431986e-10-3.045061980344599e-10j),(5.5856402836340635e-11-4.359137993367813e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,18.4,36.8,1.5707963267948966,51,(-3.2730935507502973e-10+1.2090699665415205e-10j),(9.146379693122236e-11-3.2650988638686876e-11j),(0.09566932260793623-0.26054781694456547j),(-1.000875655791933e-09-3.0133786958763675e-10j),(-2.143469559831579e-11-1.2756500659757715e-10j),(-0.3488849631595734+0.010722033003739473j),(-1.5536135225535652e-10-1.0397856707589082e-10j),(-9.172184539663064e-11-5.950335007660553e-11j),(-0.45541710285920545+0.6404333553217282j),(-2.447146790762744e-10-3.122094596741398e-10j),(5.676860370673609e-11-4.326951960664254e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,18.5,37.0,1.5707963267948966,51,(-3.330983075087654e-10+1.2596335519782231e-10j),(9.279901657223769e-11-3.287193789013047e-11j),(0.09489761041929576-0.26717543796598303j),(-1.019463560444911e-09-2.8056736101067514e-10j),(-2.2145279533758444e-11-1.2562039958414213e-10j),(-0.3495346986337465+0.015286816390022847j),(-1.4645480314601222e-10-9.757593170955925e-11j),(-9.3053523220199e-11-5.925912353951312e-11j),(-0.460030829721004+0.6398193189144051j),(-2.4105495377568786e-10-3.0398256134489543e-10j),(5.374403699853758e-11-4.329509967335985e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,18.6,37.2,1.5707963267948966,51,(-3.5067124659789173e-10+1.2171462123768129e-10j),(9.566976594613252e-11-3.380419624899817e-11j),(0.09401051648076283-0.2737457575795776j),(-1.0466135523350129e-09-2.669324743881374e-10j),(-2.1229390207572196e-11-1.269813315122183e-10j),(-0.35024775982089623+0.01981078485764521j),(-1.475130399775093e-10-9.619227463175672e-11j),(-9.353719188087695e-11-5.987226204022168e-11j),(-0.46459468731776665+0.6391749508492411j),(-2.589568524891117e-10-3.158976413786263e-10j),(5.0467879875171207e-11-4.416507652820925e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,18.7,37.4,1.5707963267948966,51,(-3.411070794313159e-10+1.2760522066085356e-10j),(9.724679460136609e-11-3.350061898657415e-11j),(0.09301132018503024-0.28025729060403004j),(-1.028333045235627e-09-2.3734638213146475e-10j),(-2.237773074481586e-11-1.2325725516221608e-10j),(-0.3510223257382105+0.024293182930984415j),(-1.4029203146415092e-10-9.04464905748803e-11j),(-9.091494918012089e-11-5.822257675830972e-11j),(-0.46910915475355003+0.6385013201749721j),(-2.4943933724097533e-10-3.048468699695661e-10j),(4.580320844826957e-11-4.317821867451442e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,18.8,37.6,1.5707963267948966,51,(-3.521605833551114e-10+1.246547916972096e-10j),(9.900548642634982e-11-3.4119941019092026e-11j),(0.09190325028318462-0.2867086664876372j),(-1.0417312639680182e-09-2.183477027656311e-10j),(-2.2525682707996708e-11-1.2358168839780958e-10j),(-0.3518566025048559+0.028733320416267402j),(-1.3857143731088595e-10-8.835923138994506e-11j),(-9.630098107837881e-11-5.828636282057443e-11j),(-0.47357471488804687+0.637799463790162j),(-2.577817889704015e-10-3.137988272006176e-10j),(4.499725592133075e-11-4.356486879555585e-11j)
