form,rtol,a,omega,phi,N,hopping,onsite,next onsite,NNN,NNN overtop
linear,1e-09,35.0,5.4,0.0,51,(0.25719695593743497+8.092395642216166e-09j),(-2.445618507013192e-08-1.727472911719043e-06j),(-6.330826696123587e-07-1.7305507061537305e-06j),(-6.357934810873912e-07+4.431025053423866e-05j),(-2.1905567959383532e-08+4.4384461449152856e-05j)
linear,1e-09,35.0,5.5,0.0,51,(0.23652722028435808+1.3156994943577228e-08j),(1.1100795829430132e-08-1.7628864656966833e-06j),(3.9629785029277054e-07-1.7374124754046517e-06j),(4.0181255357317133e-07+4.453751468665766e-05j),(1.2508897304260025e-08+4.4509458702604577e-05j)
linear,1e-09,35.0,5.6,0.0,51,(0.21309020274916335+1.870753989176884e-08j),(8.302383615668707e-09-1.7580931292507746e-06j),(5.865606601445153e-07-1.7649017260105735e-06j),(5.881142018408433e-07+4.493311966908945e-05j),(1.341135439031707e-08+4.4957076987991737e-05j)
linear,1e-09,35.0,5.7,0.0,51,(0.18743496792810604+6.178762541473305e-09j),(-1.735180486869424e-08-1.7406778510005693e-06j),(-4.774009238275867e-08-1.7756285498199574e-06j),(-3.9704268435200064e-08+4.4792893276597786e-05j),(-8.924029693165025e-09+4.4854368053481634e-05j)
linear,1e-09,35.0,5.8,0.0,51,(0.1600673172883708+6.956452740047284e-09j),(-3.013032784751781e-08-1.7714695173946773e-06j),(-5.760478804838279e-07-1.7815511721884927e-06j),(-5.850014300556134e-07+4.4995876637176626e-05j),(-3.1169750588748435e-08+4.5136472555486715e-05j)
linear,1e-09,35.0,5.9,0.0,51,(0.13144710899305356+9.61976923297886e-10j),(-4.2570725459016286e-08-1.7808954351653775e-06j),(-6.147208789150649e-07-1.7752324899491989e-06j),(-6.05566366666387e-07+4.4821633385715895e-05j),(-3.2683576986318463e-08+4.483241510958017e-05j)
linear,1e-09,35.0,6.0,0.0,51,(0.10198765376784158+3.083221816848975e-08j),(-8.314836336116669e-09-1.812975359961251e-06j),(-1.2174696163713694e-07-1.7799129410984315e-06j),(-1.130759785862058e-07+4.5323914425477145e-05j),(-2.0480277440095007e-08+4.536491960791956e-05j)
linear,1e-09,35.0,6.1,0.0,51,(0.07205629226086104+2.3747094609538492e-08j),(-1.4648163792803511e-08-1.81907544413304e-06j),(-1.0888789668604508e-07-1.7863107351983703e-06j),(-9.846949691684655e-08+4.5332262027083515e-05j),(-1.9532985440912087e-08+4.540500745325721e-05j)
linear,1e-09,35.0,6.2,0.0,51,(0.041976731085956266+1.3743924756526692e-08j),(-8.48679036619579e-09-1.8302964394427098e-06j),(1.2233124442768972e-07-1.7986598912390925e-06j),(1.3135890392117948e-07+4.579781985705342e-05j),(-1.0305122485161286e-08+4.5844755119351566e-05j)
linear,1e-09,35.0,6.3,0.0,51,(0.012030664096681049+4.455548713009384e-08j),(-3.188874876766841e-08-1.836896625235543e-06j),(-7.873657574590737e-08-1.808933627041002e-06j),(-9.356978388451714e-08+4.769155589774736e-05j),(-3.5865092755442375e-08+4.777032392084952e-05j)
