form,rtol,a,omega,phi,N,hopping,hopping back,onsite,next onsite,NNN overtop,NNN star,NNN square
SS-p,1.0000000000000001e-11,35.0,5.0,0.4487989505128276,51,(-0.3026618721738556+0.0028805683341072592j),(-0.30266187218176005-0.0028805683502932736j),(0.04176381888038074-1.7936614520042138e-10j),(-0.01601205390487178-1.6734064625344152e-11j),(-0.016012053904895553-1.2086775093841572e-11j),(0.03251411538686127+0.026636089362395834j),(0.032514115386771736-0.026636089269135375j)
SS-p,1.0000000000000001e-11,35.0,5.1,0.4487989505128276,51,(-0.29955917825485817+0.0013646102932442505j),(-0.29955917826177003-0.0013646103127568088j),(0.05803565480224789-1.7517115709353437e-10j),(-0.02534481266681607-1.7520228968532393e-11j),(-0.025344812666800054-1.2880264048347554e-11j),(0.04715159225500419+0.023979896704885595j),(0.047151592255363785-0.02397989661519611j)
SS-p,1.0000000000000001e-11,35.0,5.2,0.4487989505128276,51,(-0.29068509061918496-0.00012559776588279975j),(-0.2906850906251353+0.0001255977434174299j),(0.07107770578240426-1.7384623081373451e-10j),(-0.032815476652179154-1.8331184354001644e-11j),(-0.03281547665219793-1.4092017316399817e-11j),(0.060263445026679734+0.02093499844770352j),(0.060263445027411044-0.020934998361606706j)
SS-p,1.0000000000000001e-11,35.0,5.3,0.4487989505128276,51,(-0.276982975803932-0.0015296223486720717j),(-0.27698297580900283+0.0015296223234781137j),(0.08028918736606684-1.7544008953929158e-10j),(-0.03811797012514224-1.9112549001173e-11j),(-0.038117970125187764-1.4445495980219042e-11j),(0.07174376394152183+0.01761190367945156j),(0.07174376394253379-0.017611903596248143j)
SS-p,1.0000000000000001e-11,35.0,5.4,0.4487989505128276,51,(-0.25935460665531124-0.002797420619148311j),(-0.25935460665950494+0.002797420591039018j),(0.08546740668502006-1.7999252782674446e-10j),(-0.041167263791616636-1.9861923492367665e-11j),(-0.041167263791608726-1.5479570817087166e-11j),(0.0815792871010054+0.014107376610804231j),(0.08157928710233693-0.014107376530362252j)
SS-p,1.0000000000000001e-11,35.0,5.5,0.4487989505128276,51,(-0.23861202383626984-0.003892363626747053j),(-0.23861202383954933+0.0038923635957263947j),(0.08672056084520342-1.8719089125984745e-10j),(-0.0420470994650203-2.0520730060616334e-11j),(-0.042047099465075274-1.6111261345833807e-11j),(0.08982159776744444+0.010502025038222045j),(0.08982159776902497-0.010502024960332115j)
SS-p,1.0000000000000001e-11,35.0,5.6,0.4487989505128276,51,(-0.21545656248134315-0.004791799559626539j),(-0.2154565624836681+0.004791799525096813j),(0.08437649052744495-1.9781144777741844e-10j),(-0.040957388451214334-2.1155717766740755e-11j),(-0.04095738845125458-1.7148209443491286e-11j),(0.09656277101339941+0.006860435264809436j),(0.0965627710152683-0.006860435189710176j)
SS-p,1.0000000000000001e-11,35.0,5.7,0.4487989505128276,51,(-0.1904769954821584-0.005485986528564718j),(-0.19047699548335276+0.005485986490115918j),(0.07890128177482177-2.1183742260344474e-10j),(-0.038168495992726925-2.1729481731291374e-11j),(-0.0381684959928813-1.6628600384767913e-11j),(0.10191641161725287+0.003232797796541377j),(0.10191641161940113-0.003232797724208848j)
SS-p,1.0000000000000001e-11,35.0,5.8,0.4487989505128276,51,(-0.16415902067682323-0.0059761376619481j),(-0.16415902067714996+0.005976137618620786j),(0.07083364489783897-2.290839323793037e-10j),(-0.033985188233783-2.2232394850373212e-11j),(-0.033985188233490206-2.3748242742895934e-11j),(0.10600422113447101-0.00034281347859037303j),(0.10600422113719364+0.000342813548075839j)
SS-p,1.0000000000000001e-11,35.0,5.9,0.4487989505128276,51,(-0.1369000650638511-0.006272127501080443j),(-0.13690006506163135+0.00627212744880544j),(0.06073583190432352-2.4891670669102695e-10j),(-0.028720245928859342-2.2810362435683937e-11j),(-0.02872024593013647-5.213191871463616e-12j),(0.10894729326515376-0.0038380618464138316j),(0.10894729326749417+0.003838061913956921j)
