form,rtol,N,a1,a2,omega1,omega multiplier,phi1,phi offset,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,5.7,2.0,1.5707963267948966,0.7853981633974483,(8.1022708937235e-05+3.5434515700418824e-05j),(-0.00011425656055161578-3.116522206008828e-11j),(-0.18279469212162744+0.03372928760613046j),(0.014893486093620076-0.030369183653004395j),(9.211629950248456e-05-2.714571664404728e-10j),(-0.0506526074459417+0.05719364340935659j),(-0.008750390954663206-0.04756703456536597j),(-0.013768600618728278-1.7661670384612757e-10j),(-0.15661543784814194-0.2315795367586584j),(0.020749518254179037-0.04360553086867142j),(0.013547029142109179-3.729040357895809e-11j)
DS-p,1e-11,51,35.0,35.0,5.8,2.0,1.5707963267948966,0.7853981633974483,(0.00021368980395626737+0.0001568191350750939j),(-0.00011499778578365883-3.112185958545629e-11j),(-0.1525104289572672+0.047921100254725756j),(0.008168883257704552-0.033059570617814095j),(0.0021366598388324106-3.058514004281484e-10j),(-0.05133999189364264+0.03856721566298534j),(-0.005354398419130866-0.04573665486462897j),(-0.016343217480825217-1.8594015403191912e-10j),(-0.1390552238423828-0.22314972125888924j),(0.02035332153737064-0.044666732406708945j),(0.014077700825156013-3.5286252478474247e-11j)
DS-p,1e-11,51,35.0,35.0,5.9,2.0,1.5707963267948966,0.7853981633974483,(0.0003767666765327335+0.00027140035253914575j),(-0.00010984622294402665-3.0776855730560013e-11j),(-0.12061028118159939+0.05505264218704529j),(0.0012901245692837652-0.03425330877970145j),(0.005443850574714731-3.4206636841169876e-10j),(-0.04872673450989052+0.02314047028206401j),(-0.002128813303115579-0.04360584838578627j),(-0.01987052073998987-1.9534414630551176e-10j),(-0.12242985974852273-0.21317260923905873j),(0.02009428191962525-0.045600396141083674j),(0.014286666079939676-3.302950767298117e-11j)
DS-p,1e-11,51,35.0,35.0,6.0,2.0,1.5707963267948966,0.7853981633974483,(0.0005535188019365577+0.00037287306966501683j),(-9.915498258267304e-05-3.0449736891128774e-11j),(-0.08857347204894792+0.055403480741681305j),(-0.005434593599177623-0.034051565624489924j),(0.009631196110071344-4.067737120120626e-10j),(-0.04363026517157391+0.011314006168652253j),(0.0009117189208140016-0.0412178304692426j),(-0.02399865247395607-2.1792580284023813e-10j),(-0.10680262916008888-0.2018409414971235j),(0.019958229796369954-0.04640297279119634j),(0.014206578074255486-3.101203758087626e-11j)
DS-p,1e-11,51,35.0,35.0,6.1,2.0,1.5707963267948966,0.7853981633974483,(0.0007302227181637205+0.00045697070501543195j),(-8.351331926027358e-05-2.7128808023744553e-11j),(-0.057664326083921455+0.0494903030896056j),(-0.011753200374712237-0.03260222421587934j),(0.014336341861300764-4.4300135247550485e-10j),(-0.03685076402350107+0.0032693560012591275j),(0.00375662427840241-0.03861286946166513j),(-0.02839589657227769-2.3763716741399034e-10j),(-0.09221677549171557-0.18933694460088724j),(0.019930413653207385-0.04707433222183629j),(0.013870130787660718-2.881804271235078e-11j)
DS-p,1e-11,51,35.0,35.0,6.2,2.0,1.5707963267948966,0.7853981633974483,(0.0008961378957205234+0.0005212090450553038j),(-6.366380459618712e-05-2.170179472225135e-11j),(-0.02892046942819899+0.03799629426776721j),(-0.017470424274553493-0.030082788149687158j),(0.0192321873352313-5.116110757373911e-10j),(-0.029137564428155054-0.000995403513088804j),(0.006398649953905292-0.03582808929478881j),(-0.03276502464277574-2.7778248154130733e-10j),(-0.07869919873502579-0.17583077353294244j),(0.019995997940854736-0.04761725607179398j),(0.013309174688375027-2.7152996280356644e-11j)
DS-p,1e-11,51,35.0,35.0,6.3,2.0,1.5707963267948966,0.7853981633974483,(0.001043316840295203+0.0005646007840517017j),(-4.043026327875863e-05-1.4599948659289385e-11j),(-0.003154908812362494+0.021710250202535298j),(-0.022445172517463013-0.02668604318527567j),(0.024036072235305385-6.046427973105469e-10j),(-0.0211664718976013-0.0016295299383130236j),(0.008833251466197452-0.03289743146368629j),(-0.03685191908072781-3.1303405956419275e-10j),(-0.06626343501620509-0.16147976708719874j),(0.02014050690048762-0.04803686089746796j),(0.012554072945625692-2.5506935099509284e-11j)
DS-p,1e-11,51,35.0,35.0,6.4,2.0,1.5707963267948966,0.7853981633974483,(0.0011663189745206482+0.0005873625998550793j),(-1.4658652689154872e-05-1.5050832344681093e-11j),(0.019032243054128352+0.0014757973639896115j),(-0.02658576164216924-0.022608521186773207j),(0.02851420972427517-6.182104217001169e-10j),(-0.013526036810272422+0.0011048099915469398j),(0.011058100838303272-0.02985173785648929j),(-0.040449623197095365-3.341808375622379e-10j),(-0.05491204149118181-0.14642827657654764j),(0.02035018178702825-0.048340014559731505j),(0.011633268076026156-2.4472093111732578e-11j)
DS-p,1e-11,51,35.0,35.0,6.5,2.0,1.5707963267948966,0.7853981633974483,(0.0012618742815497077+0.0005906317932746352j),(1.2828355629575e-05-2.1725189088322844e-11j),(0.037235771438939136-0.021849638301044187j),(-0.02984390309575381-0.018041609282729246j),(0.03248248249877344-5.413542859481422e-10j),(-0.0067109328147955515+0.006863916118620002j),(0.013072698618901405-0.02671891630498873j),(-0.04339890324027372-3.5574333322419074e-10j),(-0.044638508736597284-0.13080788124815665j),(0.020612241630822873-0.04853478898647833j),(0.010573023178280641-2.334437875329516e-11j)
DS-p,1e-11,51,35.0,35.0,6.6,2.0,1.5707963267948966,0.7853981633974483,(0.001328529528195149+0.0005762052754308817j),(4.1263743942803405e-05-2.5234548288968918e-11j),(0.051223710678155746-0.047426902288117814j),(-0.03220812864515033-0.013165031409418033j),(0.035804593126473126-4.847013602119669e-10j),(-0.0011207884179887796+0.01525015553783049j),(0.014878072499579575-0.02352415488483606j),(-0.04558628271809971-3.7231149705519844e-10j),(-0.03542881020159953-0.11473785157430197j),(0.02091505163415664-0.04862997561261329j),(0.009397301269052239-2.2397593523037654e-11j)
