"form","rtol","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"Linear-m","",35,4.6999999999999975,0.,51,0.27316106827776376+0.00003632634807389495*I,0.000024611675315342613+0.00004930444388126329*I,-0.000010546135717159899+0.0000488139959678749*I,-0.000016143577017267013-0.002789479333737179*I,5.440017534056891*^-6-0.0027280925000291527*I
"Linear-m","",35,4.799999999999997,0.,51,0.2888636643172374+0.00003045818927429057*I,0.00002443337968379134+0.00004840416590152339*I,1.869831014593773*^-6+0.000049356753318162556*I,-2.1061242885438494*^-6-0.0026984688258675843*I,2.2681621642071242*^-6-0.0026546693400357727*I
"Linear-m","",35,4.899999999999997,0.,51,0.29770549469739954+0.000019060459127315563*I,2.6788600809099386*^-7+0.00004666452331656184*I,0.00001791059883328623+0.00004797105248886057*I,0.000024573636452328946-0.002732096132160624*I,-1.7652833746960306*^-6-0.0026529184478961063*I
"Linear-m","",35,4.9999999999999964,0.,51,0.30011491983587424+1.6547527285447458*^-6*I,-0.0000550566905879736+0.00004623720609180592*I,-0.000024117363422922547+0.000046175600099610857*I,0.00001881276033335313-0.0027563108433179564*I,-2.5766639787840745*^-6-0.0026348193423501804*I
"Linear-m","",35,5.099999999999996,0.,51,0.29657250959049447-8.990514203963636*^-6*I,-0.000036527319797658127+0.000045945480409912434*I,9.494512187393708*^-6+0.000047098055029782884*I,-0.000028027461884462936-0.0027589255100127033*I,-1.4499848121005132*^-6-0.00263038670698596*I
"Linear-m","",35,5.199999999999996,0.,51,0.2878567523552085-8.16382926389095*^-6*I,-0.000016428098185047904+0.000048159052339260595*I,0.00005628868023601144+0.00004836793423656946*I,0.000032915069987726395-0.002773900899814578*I,-3.279109920128684*^-6-0.002676889018498078*I
"Linear-m","",35,5.299999999999995,0.,51,0.27449095532349527-2.7154926776506603*^-6*I,0.000032296504832445674+0.00004862997365799129*I,-1.3946258327120903*^-6+0.00005012119129819898*I,6.263725470366402*^-6-0.002826498453810296*I,2.1189552134748962*^-6-0.0027724304772082397*I
"Linear-m","",35,5.399999999999995,0.,51,0.2571992880432261-0.00001548605497359945*I,7.699201337315491*^-6+0.00004903746068153478*I,0.000012281157994904757+0.00004950078167948044*I,4.778578050100069*^-6-0.002827120508103091*I,-6.997692619222298*^-7-0.0027574082788493076*I
"Linear-m","",35,5.499999999999995,0.,51,0.23654871381316422-0.000033083925616030134*I,-0.00007100297668436763+0.00004687235222233734*I,0.000013013548328083546+0.00004710078799716728*I,8.668350360659625*^-6-0.002724105495036556*I,1.591588892388418*^-6-0.002661919343746633*I
"Linear-m","",35,5.599999999999994,0.,51,0.2131187551764913-0.000020046074313421225*I,0.000043626513859139+0.00004843231358629491*I,0.00003334213756397454+0.000049428518315666295*I,0.000029770774588843297-0.0028117145051135615*I,3.144450682504834*^-6-0.002754759882903432*I
"Linear-m","",35,5.699999999999994,0.,51,0.18741094319154983-0.000027515789710113387*I,4.947790279794667*^-7+0.00004719859030293789*I,-0.000047913045465104026+0.00004857082442132056*I,-0.00007840968070250151-0.002756660072701961*I,-6.422135424472269*^-6-0.002675026066054796*I
"Linear-m","",35,5.799999999999994,0.,51,0.16011057283194993-0.00002859351464336751*I,0.00003445738518152719+0.00004788825774128844*I,0.000019255856358862+0.000049232277851444075*I,0.000017969476869153598-0.002759613996718025*I,2.7195491501923186*^-6-0.0027020265777875354*I
"Linear-m","",35,5.899999999999993,0.,51,0.13148040456683563-0.00003574778248939167*I,8.18925465717775*^-6+0.00004929207976779315*I,0.00004245630144636089+0.00004989398885270185*I,9.133734137019116*^-6-0.002764189944105431*I,-2.4479628254153556*^-6-0.002701703072771494*I
