"form","rtol","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"Linear-m","",30,18.7,0.5235987755982988,51,0.31489607227182476-0.325596041182999*I,1.7005329278506538*^-6+0.00003698821710561183*I,-1.5699700400759187*^-6+0.0000370513673051361*I,-0.0017925601876364388+0.000060410890035479886*I,-0.0017901760355892105+0.00006044883991095616*I
"Linear-m","",30,19.7,0.5235987755982988,51,0.36124535156844156-0.344306523050723*I,1.5857942817897193*^-6+0.00003660374424466844*I,0.00001214863755220029+0.00003659516728621893*I,-0.0016636212103317508-0.0000794966817581034*I,-0.0016595021000319495-0.00007916919006010874*I
"Linear-m","",30,3.7,0.6283185307179586,51,0.0077130292496204915+0.1453235826298461*I,2.3275669209094074*^-6+0.000043111064717241685*I,0.00003831868958524727+0.000042333160181707155*I,0.00026922867383935307+0.002529665010431371*I,0.00027083363242971195+0.0024554968582443056*I
"Linear-m","",30,4.7,0.6283185307179586,51,-0.19679772764080772+0.13766136092133807*I,2.1813474409496797*^-6+0.00004130866639132492*I,-0.000018190062657599555+0.00004212022301377698*I,-0.0023316151297340594-0.0008376461515371839*I,-0.002274453861809621-0.0008354182356105897*I
"Linear-m","",30,5.7,0.6283185307179586,51,0.08848996202883572+0.004312538723441026*I,8.434306788015545*^-6+0.00003813180829293859*I,0.00003409908595765365+0.000039310392274299315*I,0.00024839233043571227-0.002340427479994404*I,0.000214099770297562-0.0022637205964305346*I
"Linear-m","",30,6.7,0.6283185307179586,51,0.2842065472286619+0.15892377198120866*I,0.000031935697628562854+0.00004049683958890849*I,0.000015111090611289249+0.0000411857051219271*I,0.0020034064855090987-0.001234143797801058*I,0.001940277192875853-0.0011892632585020898*I
"Linear-m","",30,7.7,0.6283185307179586,51,0.26476203566152534+0.3023592063854585*I,0.00004913352020897535+0.00004019277636415204*I,-8.353252015673093*^-6+0.00004060758390966221*I,0.002362743540225082+0.0003120407130542272*I,0.0023061770368208905+0.00030733811760474267*I
"Linear-m","",30,8.7,0.6283185307179586,51,0.16402326651460758+0.3343752966150789*I,0.000011151801079739416+0.00004138690861838988*I,0.000046731760601643677+0.00004086681734991678*I,0.0017943513768821045+0.001399563810292346*I,0.0017490060809292485+0.0013535727012047357*I
"Linear-m","",30,9.7,0.6283185307179586,51,0.07090139284451645+0.28107035204427006*I,0.00005496666685277096+0.00003870529414158034*I,1.8175773841624943*^-6+0.0000395058906879422*I,0.001048800502882114+0.0019239501197232678*I,0.0010082663067240566+0.0018724566160901145*I
"Linear-m","",30,10.7,0.6283185307179586,51,0.014400551453406046+0.18602196907284352*I,0.000043650879035643866+0.000039398685829124826*I,0.000029110504462504048+0.00003974472431259759*I,0.00033749840606860527+0.002144631575629789*I,0.0003219923077933933+0.0020769881133154144*I
"Linear-m","",30,11.7,0.6283185307179586,51,-0.005059851747980387+0.0796182227045879*I,0.000018564020161668335+0.000039563163036257475*I,0.000024573660452489095+0.00003975924976510352*I,-0.00028063749327698483+0.0021490691323317193*I,-0.0002701032030486617+0.00210620617453422*I
"Linear-m","",30,12.7,0.6283185307179586,51,0.004102566013352394-0.02216658877893919*I,9.830606068956292*^-6+0.00003867688184537933*I,-1.137260514242136*^-6+0.00003896579153045233*I,-0.000733342181917067+0.001919588678019744*I,-0.0007112350007128511+0.0018883064591972145*I
"Linear-m","",30,13.7,0.6283185307179586,51,0.03250960472280945-0.11145000203452302*I,0.00001675811981381118+0.00003800817529971369*I,0.000018180692970167596+0.00003802173720390362*I,-0.001118636098957907+0.001759474843587774*I,-0.0010961271114583327+0.0017230043054111805*I
"Linear-m","",30,14.7,0.6283185307179586,51,0.07272672335343484-0.1867702836315009*I,0.0000440279296269417+0.0000366056978531403*I,0.00003966719256012427+0.000036554099932425144*I,-0.0014076011864013528+0.0015346597368424472*I,-0.0013668464762526+0.0014909032711099865*I
"Linear-m","",30,15.7,0.6283185307179586,51,0.11928051277097639-0.2483783966619043*I,0.000016505220343205574+0.00003710844911982749*I,-5.008587909111073*^-6+0.00003717192739062547*I,-0.001569945440829387+0.0012597239950946867*I,-0.0015585094595406482+0.0012491540343525752*I
"Linear-m","",30,16.7,0.6283185307179586,51,0.16847017476649362-0.29771590189627023*I,0.000013387535200519359+0.000036674285192798666*I,3.3136902356165066*^-6+0.00003681070342904573*I,-0.001703063671266208+0.0010237121431050668*I,-0.0016901158500883823+0.0010158020017975895*I
"Linear-m","",30,17.7,0.6283185307179586,51,0.2178981001240595-0.33653908903071383*I,5.870373282584093*^-6+0.00003739993169785784*I,1.7602982497096076*^-6+0.00003741240753426702*I,-0.0017081250634812897+0.0007666789554839825*I,-0.0017000451135832546+0.0007630043289274732*I
"Linear-m","",30,18.7,0.6283185307179586,51,0.2660739204592905-0.3665758109151575*I,7.584281059937409*^-6+0.000037113042532858395*I,1.4921862919771434*^-6+0.00003714546707831966*I,-0.001693635849609835+0.0005526435721199294*I,-0.001687478801016995+0.0005505762796069041*I
"Linear-m","",30,19.7,0.6283185307179586,51,0.312129046925313-0.389384150614278*I,2.4956618463591263*^-6+0.00003702183299368279*I,1.706632607225908*^-6+0.00003701672406934424*I,-0.001648053536386905+0.0003673425185900655*I,-0.0016458844252550731+0.00036685151941006147*I
"Linear-m","",30,3.7,0.7853981633974483,51,0.12407917281718449+0.07613891128727657*I,-0.00001626334586625586+0.00003985597498884839*I,-0.000069054342411026+0.000040350274288296155*I,0.0021845581471094068-0.001154620853299288*I,0.002117912092542568-0.0011094289229159676*I
