"form","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"OSC-mathematica",35,8.299999999999985,1.0471975511965976,51,0.3115860285908304+0.1898774601077105*I,0.07328579946995585+1.3465551823008116*^-7*I,-0.03800100314884565-4.994562584357939*^-8*I,0.03648486097274424+0.03782241011927858*I,-0.03800100314882733-3.4330864011877666*^-8*I
"OSC-mathematica",35,8.399999999999984,1.0471975511965976,51,0.32679125868261105+0.17881586234580465*I,0.07097883198854862+2.6020556286149517*^-8*I,-0.03675672338525722-2.5666131743540984*^-8*I,0.035018005116614986+0.03656781553307267*I,-0.03675672338525572-7.245809213645454*^-9*I
"OSC-mathematica",35,8.499999999999984,1.0471975511965976,51,0.34049608377724205+0.16671986879863154*I,0.06832262364325886-4.4158756896206664*^-8*I,-0.03533929310511719-3.069329933132176*^-8*I,0.03352481074783637+0.03543278534759662*I,-0.03533929310514014-1.2599541988950834*^-8*I
"OSC-mathematica",35,8.599999999999984,1.0471975511965976,51,0.35266906033667783+0.15377144425003475*I,0.06537046611544893-5.998325221069955*^-8*I,-0.03377734779200814-2.911846489592389*^-8*I,0.03201815981800292+0.03441338527276759*I,-0.03377734779203062-1.284405450801063*^-8*I
"OSC-mathematica",35,8.699999999999983,1.0471975511965976,51,0.36329870585548496+0.1401456755357656*I,0.062176115529684724-1.324726512533147*^-7*I,-0.032097789643830296-4.162702168954243*^-8*I,0.030509931380118923+0.03350649938938615*I,-0.032097789643827375-2.435087525490112*^-8*I
"OSC-mathematica",35,8.799999999999983,1.0471975511965976,51,0.3723920153618235+0.12600646250972025*I,0.0587895225526009-3.226735630796044*^-8*I,-0.030326010204384187-1.7794050981046013*^-8*I,0.0290103282164792+0.032708593933805846*I,-0.030326010204390366+1.0910013841519303*^-9*I
"OSC-mathematica",35,8.899999999999983,1.0471975511965976,51,0.37996898184353656+0.11150605819238943*I,0.05525643173138517-5.5911421627996034*^-9*I,-0.028485300363526776-1.2954653574060176*^-8*I,0.027529088772671177+0.03201367625738251*I,-0.028485300363562092+6.286412187242285*^-9*I
"OSC-mathematica",35,8.999999999999982,1.0471975511965976,51,0.3860628587242837+0.09678661810681528*I,0.05162058260676146-3.833668089187475*^-8*I,-0.026597022923920396-2.6689468494302824*^-8*I,0.02607492400535906+0.03141630174443411*I,-0.026597022923937317-7.75346153987094*^-9*I
"OSC-mathematica",35,9.099999999999982,1.0471975511965976,51,0.3907197140536887+0.08197869710331743*I,0.04792088285868382+4.210949529382052*^-8*I,-0.02468103001426197-2.7350215253818477*^-8*I,0.024654920078271254+0.030912110044157497*I,-0.024681030014275386-7.657211237214002*^-9*I
"OSC-mathematica",35,9.199999999999982,1.0471975511965976,51,0.39399289490911177+0.06719889918399752*I,0.044192210843820905-2.913577416758526*^-8*I,-0.022755674354758303-2.5166948273919215*^-8*I,0.023272693781570673+0.030493246397998476*I,-0.02275567435473472-5.840299002860841*^-9*I
"OSC-mathematica",35,9.299999999999981,1.0471975511965976,51,0.39594268341199446+0.052552821617729575*I,0.04046609919223976+3.710395173499428*^-8*I,-0.020835528867952695-6.915876143571054*^-9*I,0.02193585088539123+0.03015499721717221*I,-0.020835528867985488+1.2741561056253319*^-8*I
"OSC-mathematica",35,9.39999999999998,1.0471975511965976,51,0.3966319932418655+0.038136983553282086*I,0.036771060088540364+2.178338930531527*^-8*I,-0.01893542152659873-1.6926058811180138*^-8*I,0.020647155692133677+0.029889957184734417*I,-0.018935421526584235+2.775075653259742*^-9*I
"OSC-mathematica",35,9.49999999999998,1.0471975511965976,51,0.3961336823386725+0.024033735142062636*I,0.033131835076827466-3.9325049596199495*^-8*I,-0.01706702645772594-8.626702053433491*^-9*I,0.019410597511346096+0.0296936959329651*I,-0.017067026457685704+1.1306509587509461*^-8*I
"OSC-mathematica",35,9.59999999999998,1.0471975511965976,51,0.39451603743008856+0.010317086150110118*I,0.02956923786586172+1.1344406039631827*^-8*I,-0.015240666769758302-1.7164805596431625*^-8*I,0.018228992685567234+0.029557998074677565*I,-0.01524066676973835+2.5501163923505496*^-9*I
"OSC-mathematica",35,9.69999999999998,1.0471975511965976,51,0.39185432603517106-0.0029482582564918087*I,0.026101445423278042-7.072412303202714*^-8*I,-0.013466626586823995-3.3709728111035585*^-8*I,0.017101622277380393+0.029478158128885424*I,-0.013466626586808281-1.4044992866428553*^-8*I
"OSC-mathematica",35,9.79999999999998,1.0471975511965976,51,0.3882237827222547-0.015711662891533768*I,0.02274464256749709-7.125415441420922*^-8*I,-0.011751540176593581-1.9400593286849655*^-8*I,0.016031186501728273+0.029449964613454675*I,-0.011751540176595129-1.7470363885900922*^-9*I
"OSC-mathematica",35,9.899999999999979,1.0471975511965976,51,0.3836970252545488-0.027924462643759647*I,0.019512955836262707-1.0915935317342494*^-7*I,-0.010101590860697705-2.4028009255671295*^-8*I,0.015019443144952316+0.029466026197811294*I,-0.010101590860680604-6.728351015808455*^-9*I
"OSC-mathematica",35,9.999999999999979,1.0471975511965976,51,0.3783476097153473-0.03955116705304177*I,0.016413237262151884-6.870104041340405*^-8*I,-0.008522204618825188-5.479444470595982*^-9*I,0.014064364801105192+0.029522900904186904*I,-0.008522204618817676+1.1653990409258596*^-8*I
"OSC-mathematica",35,10.099999999999978,1.0471975511965976,51,0.3722447430284465-0.0505581286820852*I,0.01345704877821475-5.694505039846125*^-8*I,-0.007017480237196061-1.2578294721396454*^-8*I,0.013166687316269191+0.029613828552376528*I,-0.0070174802371995235+4.123947061198237*^-9*I
"OSC-mathematica",35,10.199999999999978,1.0471975511965976,51,0.36546064178987736-0.06092376539785592*I,0.010650007389188225-1.0401738985891391*^-7*I,-0.0055898892841020655-1.9033110537687814*^-8*I,0.01232598754792444+0.029735780498382984*I,-0.005589889284145458-2.6075784382482315*^-9*I
