"form","rtol","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"SS-m","",35.,4.199999999999998,1.5707963267948966,51,"(-0.06986577453408044+0.04012354358064329j)","(-2.202514673694373e-06-4.447214333151971e-07j)","(1.300557165954952e-07-4.3072771231702376e-08j)","(2.267793876169282e-06-1.4029659716133311e-06j)","(1.3005592966464086e-07-2.3309966081866714e-08j)"
"SS-m","",35.,4.299999999999999,0.,51,"(0.11141558574021788+8.499234472279219e-07j)","(0.05998949950637685+1.4614995502720073e-07j)","(-0.04365106631496564-2.7405117396922674e-08j)","(0.13400298042680772+6.985464730565124e-07j)","(-0.043651066315063006-5.549074001860427e-09j)"
"SS-m","",35.,4.299999999999999,0.4487989505128276,51,"(-0.10605375837877551-0.055026614500821296j)","(0.03535031448268218+3.0241579467152933e-07j)","(-0.02999579502249144-7.84349997742532e-09j)","(-0.062242184843991855-0.05401000932090902j)","(-0.02999579502218308+1.0827500224510873e-08j)"
"SS-m","",35.,4.299999999999999,0.5235987755982988,51,"(-0.061797255234251336-0.1003291259930489j)","(0.04090815087421302+7.114100341340961e-08j)","(-0.03249868263286623-1.7193493259504044e-08j)","(-0.019688084560411163-0.0955309311687267j)","(-0.03249868263280843+1.909825100196428e-09j)"
"SS-m","",35.,4.299999999999999,0.6283185307179586,51,"(0.020448284227440126-0.11235101897602708j)","(0.05177678090747735+4.773989714426381e-07j)","(-0.03749621334155607+2.1018376654559e-08j)","(0.05812268363232333-0.10624852920496404j)","(-0.037496213341592435+3.827939752316502e-08j)"
"SS-m","",35.,4.299999999999999,0.7853981633974483,51,"(0.1029904453129798-0.03734124776305905j)","(0.06364058909456762+7.206356508991599e-07j)","(-0.04248446793634181+7.384592735045561e-09j)","(0.13622509507849587-0.03867885256118717j)","(-0.04248446793604918+2.512826775001252e-08j)"
"SS-m","",35.,4.299999999999999,1.0471975511965976,51,"(0.05316673153721904+0.10089230878186067j)","(0.05360874575144863+6.889674255747914e-07j)","(-0.03475524104286144-1.9329232439629358e-08j)","(0.09712821629861798+0.07624434584856288j)","(-0.03475524104298981-1.7353930687897806e-09j)"
"SS-m","",35.,4.299999999999999,1.5707963267948966,51,"(-0.0765182933428837+0.09955159638753325j)","(-1.7484588422699357e-06-3.764367916401387e-08j)","(1.1127781567726869e-07-4.0924656420538114e-08j)","(8.894941815605233e-07-1.993510112345184e-06j)","(1.1127814757497245e-07-2.0053510620948066e-08j)"
"SS-m","",35.,4.399999999999999,0.,51,"(0.1574442774406806+1.7646535609673998e-07j)","(0.07607956222822743-5.877807341181227e-08j)","(-0.05178774224137789-3.803987634361721e-08j)","(0.1225683930729746+5.125505577838937e-07j)","(-0.05178774224143272-1.7535858580224173e-08j)"
"SS-m","",35.,4.399999999999999,0.4487989505128276,51,"(-0.15528885297599782-0.0599921650013822j)","(0.04016140900600498+1.1501558492084085e-07j)","(-0.03251428169243051-1.3254569292029768e-08j)","(-0.053805608337365106-0.04732899624450055j)","(-0.032514281692871655+5.672451827752031e-09j)"
