form,rtol,N,a,omega,phi,onsite,O-3,O-2,O-1,O,O+1,O+2,O+3,N1-3,N1-2,N1-1,N1+1,N1+2,N1+3,N2-2,N2-1,N2,N2+1,N2+2,N3-2,N3-1,N3+1,N3+2,N4-1,N4,N4+1,N5-1,N5+1,N6
SS-p,1e-11,51,15,11.6,0,0,(7.939157695892246e-05-2.398381161245537e-11j),(-0.003156448264049396-2.0790171911700133e-11j),(0.11763420897576633-1.2334393179981018e-11j),(-0.2291100514838887-2.9261005275815823e-11j),(0.11763420897577262-1.2334393179981401e-11j),(-0.003156448264027646-2.0790171911701028e-11j),(7.939157700034034e-05-2.3983811612457153e-11j),(-0.9999717409809055-3.039057673784729e-11j),(-0.9934040678393258-3.815216501153351e-11j),(-0.5869572365286971-5.014820969874429e-11j),(-0.5869572365287029+5.5548421280916104e-11j),(-0.9934040678393407+3.813755180265146e-11j),(-0.9999717409809358+3.2058756559450136e-11j),(0.0019629244497423983+7.283538875049018e-12j),(-0.09712354722000673+5.6118406233832114e-11j),(0.11763420897577087-7.559825687023335e-12j),(-0.09712354722000528-4.244735365772462e-11j),(0.0019629244497605903-1.6582748454805125e-11j),(0.0010975728827899494-5.7395412388235945e-11j),(0.006595932156842993-3.8168063228506423e-11j),(0.006595932156840122+3.812115170565639e-11j),(0.0010975728827875384+5.526189782182736e-11j),(0.0019629244497506694+4.1680902387108134e-11j),(-0.003156448264038542-7.486005425834997e-12j),(2.8259012330523635e-05+3.203119540087069e-11j),(2.825901233340436e-05-3.041777872368079e-11j),(0.006595932156842993-3.8168063228506423e-11j),(7.939157698103398e-05-5.9445665002254604e-12j)
SS-p,1e-11,51,15,11.7,0,0,(7.607874280075222e-05-2.3893208449880476e-11j),(-0.0030773102115945173-2.0633693665935436e-11j),(0.11713735205008145-1.2344559024266529e-11j),(-0.22826823677239724-2.8976878577817518e-11j),(0.11713735205012801-1.2344559024266787e-11j),(-0.00307731021145562-2.0633693665935953e-11j),(7.607874300893948e-05-2.3893208449881274e-11j),(-0.999972997094969-3.0436970778738934e-11j),(-0.9935880123099833-3.827958125224482e-11j),(-0.5934384249507617-4.9485345603179013e-11j),(-0.5934384249507556+5.4680046812980105e-11j),(-0.9935880123099914+3.821051412265674e-11j),(-0.9999729970950114+3.214007777184255e-11j),(0.0019170111452602807+7.366018975333993e-12j),(-0.09578193089383141+5.582025287863503e-11j),(0.11713735205010584-7.611046036828381e-12j),(-0.09578193089380346-4.25690096168207e-11j),(0.0019170111453700558-1.6429093080529062e-11j),(0.0010605960255963755-5.759819949271288e-11j),(0.006411987686276182-3.8519282148277933e-11j),(0.006411987686273558+3.797152499984786e-11j),(0.0010605960256022749+5.5217514041898027e-11j),(0.0019170111453060915+4.1504258065925876e-11j),(-0.0030773102115252172-7.451864669460532e-12j),(2.7002898418930976e-05+3.165610312814279e-11j),(2.700289841977904e-05-3.0920156056562844e-11j),(0.006411987686276182-3.8519282148277933e-11j),(7.607874290302775e-05-6.0062664355218904e-12j)
SS-p,1e-11,51,15,11.8,0,0,(7.291684497506188e-05-2.3902987171163164e-11j),(-0.0030002539134867346-2.066162573944075e-11j),(0.11661327258422667-1.2445334822879386e-11j),(-0.22736809956320472-2.86074475588214e-11j),(0.11661327258423297-1.2445334822879349e-11j),(-0.003000253913454304-2.066162573944026e-11j),(7.291684504274742e-05-2.3902987171161894e-11j),(-0.999974192447645-3.020188866313284e-11j),(-0.9937662090053436-3.815821730855459e-11j),(-0.5997843757490928-4.8828702732986565e-11j),(-0.5997843757490945+5.3872102016769377e-11j),(-0.9937662090053502+3.8215820759956616e-11j),(-0.9999741924476371+3.1915816689267135e-11j),(0.0018721187034401717+9.279013484607164e-12j),(-0.09446279797906099+5.872772206241485e-11j),(0.11661327258422666-7.76341831202765e-12j),(-0.09446279797905704-4.617090129043693e-11j),(0.0018721187034709639-1.8555797851564516e-11j),(0.001025035714073945-5.701837115153779e-11j),(0.0062337909909771306-3.8272439740811195e-11j),(0.006233790990975177+3.8100880171489056e-11j),(0.0010250357140721327+5.480273590674756e-11j),(0.0018721187034491222+4.332095389661243e-11j),(-0.003000253913478595-7.636385872948997e-12j),(2.5807545889365915e-05+3.16649768224154e-11j),(2.5807545890018388e-05-3.045360067174864e-11j),(0.0062337909909771306-3.8272439740811195e-11j),(7.291684499951836e-05-6.30448031576977e-12j)
SS-p,1e-11,51,15,11.9,0,0,(6.989872606680596e-05-2.400158541001085e-11j),(-0.002925236408323746-2.0758261272134417e-11j),(0.11606398067019864-1.251701540291086e-11j),(-0.22641373270007853-2.8495813203354445e-11j),(0.1160639806702366-1.2517015402911766e-11j),(-0.002925236408225482-2.075826127213612e-11j),(6.989872621587823e-05-2.400158541001311e-11j),(-0.9999753300921294-3.0367423897321076e-11j),(-0.9939388372427214-3.807259507207963e-11j),(-0.6059981290984048-4.785341152683478e-11j),(-0.6059981290984253+5.289341308210772e-11j),(-0.993938837242805+3.819195132654586e-11j),(-0.9999753300922294+3.2155096463370625e-11j),(0.0018282396041019867+7.867699964573823e-12j),(-0.09316587322454113+5.680027129933677e-11j),(0.11606398067022067-7.6706494936631e-12j),(-0.09316587322452952-4.4256252165799066e-11j),(0.0018282396041813277-1.7168194062155254e-11j),(0.0009908348348006595-5.750309422647796e-11j),(0.006061162753596966-3.802712742508717e-11j),(0.006061162753581799+3.823797432917896e-11j),(0.0009908348347762556+5.5576407074790457e-11j),(0.001828239604138761+4.234609126161467e-11j),(-0.00292523640826739-7.258246797006392e-12j),(2.4669901407255645e-05+3.2296550554474616e-11j),(2.4669901418315158e-05-3.022647497190204e-11j),(0.006061162753596966-3.802712742508717e-11j),(6.989872615621857e-05-5.583868956930549e-12j)
SS-p,1e-11,51,15,12.0,0,0,(6.701755450120065e-05-2.4116755427015636e-11j),(-0.0028522140386046104-2.0885105150349886e-11j),(0.11549137927200763-1.2643446846643615e-11j),(-0.22540901676103878-2.8198319982048387e-11j),(0.11549137927197729-1.2643446846642925e-11j),(-0.0028522140386186188-2.0885105150347818e-11j),(6.701755453199422e-05-2.4116755427012324e-11j),(-0.9999764129369336-2.988951878731687e-11j),(-0.9941060721906531-3.772230646414881e-11j),(-0.6120826761676876-4.698079054933061e-11j),(-0.612082676167678+5.188558244611086e-11j),(-0.9941060721905857+3.789730348706902e-11j),(-0.9999764129368147+3.1689443412102936e-11j),(0.001785364594105447+9.235869452841825e-12j),(-0.09189087171562083+5.993958024768695e-11j),(0.1154913792719941-7.994852717777129e-12j),(-0.09189087171562947-4.828145695843173e-11j),(0.0017853645941064715-1.8993966602633277e-11j),(0.0009579384372101999-5.653045683077081e-11j),(0.005893927805759526-3.762174632700024e-11j),(0.0058939278057678025+3.799743617026702e-11j),(0.0009579384372404175+5.447256491311968e-11j),(0.0017853645941091733+4.360495562305462e-11j),(-0.002852214038611638-7.862313709392614e-12j),(2.3587056779236738e-05+3.189601217560148e-11j),(2.3587056773658518e-05-2.9680940376692733e-11j),(0.005893927805759526-3.762174632700024e-11j),(6.701755451081612e-05-6.4787939894344535e-12j)
SS-p,1e-11,51,15,12.1,0,0,(6.426681403682555e-05-2.389503295045336e-11j),(-0.002781142662347972-2.0733205502325645e-11j),(0.11489726914825935-1.261710032519401e-11j),(-0.2243576294398687-2.8008405460045037e-11j),(0.1148972691482313-1.2617100325194413e-11j),(-0.002781142662415522-2.0733205502326618e-11j),(6.426681393912158e-05-2.389503295045555e-11j),(-0.9999774437466038-2.9729789136851873e-11j),(-0.9942680847803018-3.75341702061128e-11j),(-0.6180409576209355-4.684540129618565e-11j),(-0.6180409576209451+5.161442076780245e-11j),(-0.9942680847803143+3.7749870078008e-11j),(-0.9999774437466362+3.146119788141585e-11j),(0.0017434829064633056+1.0284346636075331e-11j),(-0.09063750026820927+6.09437910378634e-11j),(0.11489726914825364-7.988946059925649e-12j),(-0.09063750026822857-4.946214856894441e-11j),(0.0017434829064165763-1.982133078305737e-11j),(0.00092629367778751-5.619503791746251e-11j),(0.005731915216160061-3.7479528054319175e-11j),(0.005731915216157284+3.780204237923788e-11j),(0.0009262936777789629+5.4220671146837096e-11j),(0.0017434829064582084+4.424067621341123e-11j),(-0.0027811426623595764-7.815938428210865e-12j),(2.255624718844329e-05+3.1533136064818307e-11j),(2.2556247193640088e-05-2.9653276086698235e-11j),(0.005731915216160061-3.7479528054319175e-11j),(6.426681402121222e-05-6.451101335024347e-12j)
SS-p,1e-11,51,15,12.2,0,0,(6.164029359452925e-05-2.3827001571376592e-11j),(-0.002711977837746109-2.0630461310885634e-11j),(0.1142833536104275-1.2742144930022367e-11j),(-0.22326305466939275-2.768980184942537e-11j),(0.1142833536104224-1.274214493002283e-11j),(-0.0027119778377948005-2.06304613108864e-11j),(6.164029352852194e-05-2.3827001571377807e-11j),(-0.9999784251458519-2.999866932226289e-11j),(-0.994425041631118-3.8023111740150576e-11j),(-0.6238758624001494-4.594193251836252e-11j),(-0.6238758624001628+5.0482217916191105e-11j),(-0.9944250416311549+3.839169421209171e-11j),(-0.9999784251458865+3.175096894441778e-11j),(0.0017025824632071298+1.3015007150542576e-11j),(-0.0894054587135285+6.426961722621692e-11j),(0.11428335361042807-8.082670532722359e-12j),(-0.0894054587135377-5.346860344741218e-11j),(0.001702582463166051-2.247732189281691e-11j),(0.0008958497747918205-5.613412311975505e-11j),(0.005574958365416301-3.7973080451772834e-11j),(0.0055749583654092355+3.844241550841336e-11j),(0.0008958497747715683+5.4406741432537856e-11j),(0.0017025824631927908+4.688065378204744e-11j),(-0.002711977837761435-7.662192227628829e-12j),(2.1574848088458084e-05+3.186247306818883e-11j),(2.1574848095082125e-05-2.988803055053727e-11j),(0.005574958365416301-3.7973080451772834e-11j),(6.164029357564925e-05-6.319014840651464e-12j)
SS-p,1e-11,51,15,12.3,0,0,(5.913207255341585e-05-2.388180916849847e-11j),(-0.0026446749950932275-2.0668466600423395e-11j),(0.113651243109349-1.2806693554458508e-11j),(-0.22212859144828137-2.7496736259200397e-11j),(0.11365124310935666-1.2806693554458996e-11j),(-0.002644674995086955-2.0668466600424465e-11j),(5.913207253971154e-05-2.3881809168500038e-11j),(-0.9999793596274431-2.978302186987145e-11j),(-0.994577105014075-3.789881926937503e-11j),(-0.6295902267178157-4.487517672068635e-11j),(-0.629590226717831+4.9304000569836073e-11j),(-0.9945771050141227+3.817358081842643e-11j),(-0.9999793596275084+3.155616500521368e-11j),(0.0016626500500780874+1.3776127203345723e-11j),(-0.08819444108140449+6.53780490586227e-11j),(0.1136512431093507-8.028469992702129e-12j),(-0.08819444108140544-5.4846349298401137e-11j),(0.0016626500500847006-2.3240951816384954e-11j),(0.0008665579525155862-5.5648513456120454e-11j),(0.005422894982505735-3.796826901069178e-11j),(0.0054228949824955165+3.8102964197335685e-11j),(0.0008665579524954844+5.370485692035435e-11j),(0.0016626500500813296+4.786956779497036e-11j),(-0.002644674995087604-7.40285068741158e-12j),(2.0640366580923757e-05+3.138637476120414e-11j),(2.0640366588827157e-05-2.994889181617422e-11j),(0.005422894982505735-3.796826901069178e-11j),(5.913207255278852e-05-5.911067529733323e-12j)
SS-p,1e-11,51,15,12.4,0,0,(5.673651099306971e-05-2.3974903271715566e-11j),(-0.002579189590084556-2.078691356398813e-11j),(0.11300245966197328-1.2904914112542981e-11j),(-0.22095736237305957-2.7333721909537083e-11j),(0.11300245966192025-1.2904914112543021e-11j),(-0.0025791895902037704-2.0786913563988875e-11j),(5.673651085189374e-05-2.397490327171686e-11j),(-0.9999802495629686-2.976418599964338e-11j),(-0.9947244328404454-3.797133247317973e-11j),(-0.6351868333044015-4.447462450352166e-11j),(-0.6351868333044057+4.890250201477931e-11j),(-0.9947244328404596+3.833768053344288e-11j),(-0.9999802495630071+3.1584614425190865e-11j),(0.0016236714766152377+1.47161080944495e-11j),(-0.08700413668435031+6.775738883407267e-11j),(0.11300245966194732-8.310374092761053e-12j),(-0.08700413668438589-5.784113045761474e-11j),(0.0016236714765267663-2.4590829464217188e-11j),(0.0008383713536377069-5.504203155692421e-11j),(0.005275567156164544-3.787442586197821e-11j),(0.00527556715616801+3.843268142676967e-11j),(0.0008383713536163353+5.313166189943645e-11j),(0.001623671476584384+4.8659036377990284e-11j),(-0.0025791895901390726-7.967823000631045e-12j),(1.975043111340953e-05+3.1756693755624254e-11j),(1.975043111394144e-05-2.958806425773595e-11j),(0.005275567156164544-3.787442586197821e-11j),(5.673651092589775e-05-6.724505733933448e-12j)
SS-p,1e-11,51,15,12.5,0,0,(5.44482394604423e-05-2.408730303052226e-11j),(-0.0025154772246258825-2.087951334426351e-11j),(0.11233844111339918-1.3022104417812548e-11j),(-0.21975232187491778-2.7274088981423952e-11j),(0.11233844111334976-1.3022104417812358e-11j),(-0.0025154772247357187-2.087951334426318e-11j),(5.444823934148792e-05-2.4087303030521567e-11j),(-0.9999810971991899-3.0023550200596964e-11j),(-0.994867178640201-3.804101497291305e-11j),(-0.6406684108290152-4.3718085062066856e-11j),(-0.6406684108290269+4.802261384674852e-11j),(-0.9948671786402108+3.843653562872183e-11j),(-0.999981097199181+3.184556844614049e-11j),(0.0015856317297530294+1.376462768050612e-11j),(-0.08583423109443657+6.625232171356578e-11j),(0.11233844111337701-8.393211901790687e-12j),(-0.08583423109447083-5.667168854657584e-11j),(0.001585631729677451-2.3729521844304285e-11j),(0.0008112450198586379-5.556747364843648e-11j),(0.005132821356453636-3.804365384791269e-11j),(0.005132821356451937+3.843449781057908e-11j),(0.0008112450198485418+5.3581522158527843e-11j),(0.0015856317297272017+4.788482298091837e-11j),(-0.0025154772246759874-8.007619231132289e-12j),(1.8902794985784562e-05+3.1796333416954837e-11j),(1.890279499214319e-05-3.007155782426063e-11j),(0.005132821356453636-3.804365384791269e-11j),(5.444823941010653e-05-6.861093539143304e-12j)
SS-p,1e-11,51,15,12.6,0,0,(5.2262145973577046e-05-2.3901076228488337e-11j),(-0.00245349376630059-2.0732559911434758e-11j),(0.11166054522904335-1.3079382889911296e-11j),(-0.21851626416708522-2.703965347301557e-11j),(0.11166054522906968-1.3079382889912003e-11j),(-0.002453493766253895-2.073255991143624e-11j),(5.2262146014706364e-05-2.390107622849077e-11j),(-0.9999819046718471-2.970615489876616e-11j),(-0.9950054915957808-3.801130224855882e-11j),(-0.6460376335171361-4.365765129781186e-11j),(-0.6460376335171437+4.7751478800394995e-11j),(-0.9950054915958205+3.838714866287532e-11j),(-0.9999819046719302+3.1454800390278506e-11j),(0.0015485151048364512+1.6796241755994794e-11j),(-0.08468440705298684+7.046230896323084e-11j),(0.11166054522905633-8.387970882707038e-12j),(-0.08468440705297425-6.129964761616623e-11j),(0.0015485151048717442-2.6534581740944616e-11j),(0.000785135800646956-5.4598985840566385e-11j),(0.004994508400947559-3.814047289590388e-11j),(0.004994508400939771+3.825786510901787e-11j),(0.000785135800630073+5.258298522352259e-11j),(0.0015485151048442148+5.0766837452223485e-11j),(-0.0024534937662810665-7.687167370091187e-12j),(1.8095322440710073e-05+3.1197644534852945e-11j),(1.8095322448690018e-05-2.9963014509794165e-11j),(0.004994508400947559-3.814047289590388e-11j),(5.2262145986131795e-05-6.246069238143066e-12j)
SS-p,1e-11,51,15,12.7,0,0,(5.017336369971519e-05-2.378824806076661e-11j),(-0.002393195450162233-2.0644464021832322e-11j),(0.11097005362747497-1.3067458287046957e-11j),(-0.21725183087930333-2.6923549909931353e-11j),(0.11097005362750849-1.3067458287047825e-11j),(-0.002393195450111177-2.0644464021834932e-11j),(5.017336375964696e-05-2.3788248060771473e-11j),(-0.9999826740050863-2.963556582241654e-11j),(-0.9951395165635837-3.77176322655407e-11j),(-0.6512971209340827-4.261973510034918e-11j),(-0.6512971209340859+4.660844134580866e-11j),(-0.9951395165636364+3.81858961110603e-11j),(-0.999982674005228+3.1328391244579037e-11j),(0.001512305321640407+1.625241597589701e-11j),(-0.0835543452853783+6.905221802399141e-11j),(0.11097005362748992-8.386628281034946e-12j),(-0.08355434528536021-6.000970563219098e-11j),(0.001512305321676962-2.5880308434045587e-11j),(0.0007600023053098359-5.4191924187960355e-11j),(0.004860483433216342-3.7857216565442405e-11j),(0.004860483433211092+3.804482017144783e-11j),(0.0007600023052813422+5.2369803888267796e-11j),(0.0015123053216425134+5.010347119256122e-11j),(-0.0023931954501469504-7.579796448607096e-12j),(1.7325989338923395e-05+3.103145487096536e-11j),(1.7325989341049732e-05-2.992822246869406e-11j),(0.004860483433216342-3.7857216565442405e-11j),(5.0173363720510716e-05-6.0475284358366364e-12j)
SS-p,1e-11,51,15,12.8,0,0,(4.8177262545212665e-05-2.3833919376013954e-11j),(-0.002334538962799274-2.064742918156998e-11j),(0.11026817554602414-1.3210834057363318e-11j),(-0.21596151841217154-2.6720886673397588e-11j),(0.11026817554600653-1.3210834057363535e-11j),(-0.0023345389628161755-2.06474291815703e-11j),(4.817726253471206e-05-2.383391937601435e-11j),(-0.9999834071178901-2.9315703834849594e-11j),(-0.9952693941150131-3.747545081187878e-11j),(-0.6564494379067131-4.213671516573729e-11j),(-0.6564494379067243+4.6068825890418366e-11j),(-0.995269394115039+3.8016653617991555e-11j),(-0.9999834071179137+3.1080520634326646e-11j),(0.0014769856367645438+1.8059483752584756e-11j),(-0.08244372525655946+7.206351768106915e-11j),(0.11026817554601372-8.490227736036607e-12j),(-0.08244372525657462-6.359286790837389e-11j),(0.0014769856367585054-2.7760925019735657e-11j),(0.0007358048368650433-5.350155863441309e-11j),(0.004730605881846491-3.7482205793233737e-11j),(0.004730605881840721+3.801065391525144e-11j),(0.0007358048368498874+5.1856581781295236e-11j),(0.0014769856367594415+5.19767677733018e-11j),(-0.0023345389628142777-7.512012685834471e-12j),(1.6592876669310665e-05+3.107099689989101e-11j),(1.6592876677431123e-05-2.932481583450805e-11j),(0.004730605881846491-3.7482205793233737e-11j),(4.817726253169024e-05-6.0343066414144295e-12j)
SS-p,1e-11,51,15,12.9,0,0,(4.6269436929469236e-05-2.390038778738713e-11j),(-0.002277481516553759-2.072895220344534e-11j),(0.10955605145817363-1.3210499669735133e-11j),(-0.214647684975049-2.6680516996946456e-11j),(0.1095560514581797-1.3210499669735269e-11j),(-0.0022774815165183407-2.072895220344592e-11j),(4.626943698952241e-05-2.3900387787387916e-11j),(-0.9999841058340383-2.919044721869837e-11j),(-0.9953952605887938-3.7292916374165034e-11j),(-0.6614970945807503-4.129097560086793e-11j),(-0.6614970945807542+4.522283983528037e-11j),(-0.9953952605888113+3.7718505181065593e-11j),(-0.9999841058340709+3.1004346220973324e-11j),(0.0014425389405333352+1.6972889936299705e-11j),(-0.08135222584008162+7.097931314052493e-11j),(0.10955605145817689-8.561672958770264e-12j),(-0.08135222584007831-6.263863745577328e-11j),(0.0014425389405673008-2.6838836786985575e-11j),(0.0007125053429248697-5.312901521095868e-11j),(0.004604739408091964-3.7367212703542976e-11j),(0.004604739408087452+3.764482900608249e-11j),(0.0007125053429172764+5.1154281470378086e-11j),(0.0014425389405474571+5.086540275736656e-11j),(-0.0022774815165363515-7.742827636618395e-12j),(1.589416057462068e-05+3.082268740776473e-11j),(1.5894160577997534e-05-2.936880242939502e-11j),(0.004604739408091964-3.7367212703542976e-11j),(4.6269436957030306e-05-6.311891539923211e-12j)
SS-p,1e-11,51,15,13.0,0,0,(4.4445694647319306e-05-2.3987297101156266e-11j),(-0.0022219809270120246-2.0818256616848536e-11j),(0.1088347565159638-1.3353992235335442e-11j),(-0.21331255737326568-2.6565160700677487e-11j),(0.1088347565159362-1.3353992235335758e-11j),(-0.002221980927066304-2.0818256616849162e-11j),(4.444569461871518e-05-2.3987297101157035e-11j),(-0.9999847718834958-2.869747038330426e-11j),(-0.9955172481580556-3.6706854336358903e-11j),(-0.666442546628413-4.103030862609491e-11j),(-0.6664425466284272+4.4838707724502994e-11j),(-0.9955172481580936+3.718942289545828e-11j),(-0.9999847718835395+3.0443035208527135e-11j),(0.0014089478327140277+1.7706273632778502e-11j),(-0.08027952595723217+7.241491690751968e-11j),(0.10883475651595269-8.671856230255108e-12j),(-0.08027952595725765-6.458051354178341e-11j),(0.0014089478326762602-2.7770567984322404e-11j),(0.0006900673290889791-5.2162546714550983e-11j),(0.004482751838863209-3.67388534347373e-11j),(0.004482751838858168+3.715588027688521e-11j),(0.0006900673290654801+5.029331283189774e-11j),(0.0014089478327045147+5.176016989794903e-11j),(-0.0022219809270356224-7.774838614266794e-12j),(1.522811118049314e-05+3.0385300365195716e-11j),(1.522811118529312e-05-2.8751818094698674e-11j),(0.004482751838863209-3.67388534347373e-11j),(4.444569463721815e-05-6.338961419697927e-12j)
SS-p,1e-11,51,15,13.1,0,0,(4.2702051580176164e-05-2.404440866976397e-11j),(-0.0021679956444186628-2.0851099782514868e-11j),(0.10810530387676474-1.353539731129919e-11j),(-0.21195823746851766-2.6424564153380607e-11j),(0.10810530387671585-1.3535397311298665e-11j),(-0.002167995644492981-2.0851099782513863e-11j),(4.270205150251796e-05-2.4044408669762536e-11j),(-0.9999854069022334-2.9324813044101685e-11j),(-0.9956354848869776-3.76388148395669e-11j),(-0.6712881955143575-4.051502448021488e-11j),(-0.671288195514347+4.421187399527318e-11j),(-0.9956354848869309+3.8235806275153544e-11j),(-0.9999854069021732+3.1136197131286246e-11j),(0.0013761947224603132+2.0454186131272588e-11j),(-0.07922530510032995+7.595377456062337e-11j),(0.10810530387673857-8.90527580248874e-12j),(-0.07922530510035662-6.886286377101845e-11j),(0.0013761947224097514-3.070102068160583e-11j),(0.0006684558366205041-5.254808138223388e-11j),(0.0043645151100214245-3.764959666805796e-11j),(0.0043645151100327895+3.822492881688707e-11j),(0.000668455836635056+5.076647741005431e-11j),(0.001376194722442043+5.453010642376343e-11j),(-0.0021679956444615955-7.918288429299153e-12j),(1.459309258375471e-05+3.11288856318401e-11j),(1.4593092574534438e-05-2.933191475963179e-11j),(0.0043645151100214245-3.764959666805796e-11j),(4.270205153395313e-05-6.555767990903054e-12j)
SS-p,1e-11,51,15,13.2,0,0,(4.1034717585965895e-05-2.3771352914478483e-11j),(-0.00211548481797427-2.0613620085048254e-11j),(0.10736864784038587-1.3499200659130438e-11j),(-0.2105867084099011-2.6214143449073462e-11j),(0.10736864784034071-1.3499200659130275e-11j),(-0.002115484818045571-2.061362008504839e-11j),(4.103471749423022e-05-2.377135291447876e-11j),(-0.9999860124456539-2.9013165022010617e-11j),(-0.995750094817998-3.7363630837236184e-11j),(-0.6760363889071415-3.968213504838152e-11j),(-0.6760363889071378+4.3333776121664797e-11j),(-0.995750094817992+3.7985816439823904e-11j),(-0.9999860124456588+3.084524073293188e-11j),(0.0013442618813155989+2.2842564461945203e-11j),(-0.07818924386774916+7.829939331572451e-11j),(0.10736864784037096-8.842376901790989e-12j),(-0.07818924386777772-7.136545955726239e-11j),(0.0013442618812687134-3.275608199630615e-11j),(0.0006476373595867386-5.1462025605357224e-11j),(0.004249905179054249-3.738130123989452e-11j),(0.004249905179062788+3.796897350241519e-11j),(0.0006476373595818803+4.976706041513154e-11j),(0.0013442618813016244+5.654090773562016e-11j),(-0.0021154848180003675-7.630173769914514e-12j),(1.3987549285562808e-05+3.07781499818202e-11j),(1.3987549279954013e-05-2.908005151116793e-11j),(0.004249905179054249-3.738130123989452e-11j),(4.103471754310741e-05-6.14537466297737e-12j)
SS-p,1e-11,51,15,13.3,0,0,(3.94400854717425e-05-2.3756960639425325e-11j),(-0.002064408332547146-2.0605592888581773e-11j),(0.10662568687937003-1.3540031660324173e-11j),(-0.20919984054534482-2.613858334545438e-11j),(0.10662568687938427-1.3540031660324177e-11j),(-0.00206440833257154-2.060559288858151e-11j),(3.94400853809626e-05-2.3756960639425267e-11j),(-0.9999865899865984-2.8692423426892866e-11j),(-0.9958611980426956-3.701039817667164e-11j),(-0.6806894211330261-3.8524201734389096e-11j),(-0.6806894211330246+4.208708271551949e-11j),(-0.9958611980426781+3.760366583467003e-11j),(-0.9999865899865628+3.05091178538785e-11j),(0.0013131315070922553+2.274395632515558e-11j),(-0.07717102439769642+7.844776225335349e-11j),(0.10662568687937289-8.933331522859295e-12j),(-0.07717102439768508-7.180334321157245e-11j),(0.0013131315070610097-3.271125138569362e-11j),(0.000627579799263924-5.036400622845215e-11j),(0.0041388019544131805-3.7018654249308634e-11j),(0.004138801954411747+3.759560797494558e-11j),(0.0006275797992709913+4.8646013296116675e-11j),(0.0013131315070699025+5.6367663131838557e-11j),(-0.002064408332567663-7.730543866458541e-12j),(1.3410008439761418e-05+3.052998614652895e-11j),(1.3410008440614902e-05-2.867098104183039e-11j),(0.0041388019544131805-3.7018654249308634e-11j),(3.944008541845457e-05-6.289262907887479e-12j)
SS-p,1e-11,51,15,13.4,0,0,(3.791472756288319e-05-2.3836658628245483e-11j),(-0.002014726836828815-2.069721666773138e-11j),(0.10587726650649984-1.3645338844569962e-11j),(-0.2077993971183248-2.6131180327071267e-11j),(0.10587726650648621-1.3645338844570356e-11j),(-0.002014726836891291-2.069721666773299e-11j),(3.791472745831712e-05-2.3836658628248352e-11j),(-0.9999871409223977-2.8709522059992472e-11j),(-0.9959689107945401-3.7018390992723344e-11j),(-0.6852495337435657-3.8086000640392004e-11j),(-0.6852495337435708+4.167851288787302e-11j),(-0.9959689107945775+3.769695466263934e-11j),(-0.9999871409224848+3.0542878871233886e-11j),(0.0012827857832748864+2.323128918127343e-11j),(-0.07617033078873439+7.933211053303262e-11j),(0.10587726650649716-9.036016342676354e-12j),(-0.07617033078874665-7.29422819802195e-11j),(0.0012827857832225717-3.334905520834362e-11j),(0.000608252399634927-4.9896673158957504e-11j),(0.0040310892025779395-3.691304558288789e-11j),(0.0040310892025749315+3.780488159096692e-11j),(0.0006082523996029454+4.8344989664920834e-11j),(0.0012827857832581498+5.694811791919869e-11j),(-0.0020147268368491777-7.811022124963573e-12j),(1.285907264647482e-05+3.082695489335443e-11j),(1.2859072651052756e-05-2.84289674961354e-11j),(0.0040310892025779395-3.691304558288789e-11j),(3.7914727533215336e-05-6.3810193247159146e-12j)
SS-p,1e-11,51,15,13.5,0,0,(3.645538461213181e-05-2.384778975191562e-11j),(-0.001966401769620338-2.0705464493345763e-11j),(0.1051241820231983-1.3764602592952779e-11j),(-0.20638703968382896-2.5981368654691627e-11j),(0.10512418202317377-1.3764602592952651e-11j),(-0.00196640176966492-2.070546449334519e-11j),(3.645538459339921e-05-2.3847789751914434e-11j),(-0.9999876665770692-2.8465614486199356e-11j),(-0.9960733455313608-3.6647990337662875e-11j),(-0.6897189161384124-3.752404208970467e-11j),(-0.6897189161384277+4.1039592248655395e-11j),(-0.9960733455313716+3.744280942975986e-11j),(-0.9999876665770511+3.019889202379545e-11j),(0.0012532069272255739+2.482146576423665e-11j),(-0.07518684946011361+8.195206941711642e-11j),(0.10512418202318355-9.069363166916297e-12j),(-0.07518684946013256-7.598709449994366e-11j),(0.001253206927198148-3.499725407185237e-11j),(0.0005896256998439823-4.853236716962085e-11j),(0.00392665446581732-3.6552365389684904e-11j),(0.003926654465809564+3.753812031310983e-11j),(0.000589625699840592+4.712081259895945e-11j),(0.0012532069272148565+5.867219382199593e-11j),(-0.0019664017696464286-7.618910741622e-12j),(1.233341811765422e-05+3.038504476558152e-11j),(1.2333418127168528e-05-2.8278814618162362e-11j),(0.00392665446581732-3.6552365389684904e-11j),(3.6455384598884284e-05-6.099581349568236e-12j)
