form,rtol,a,omega,phi,N,hopping,onsite,next onsite,NNN,NNN overtop
SS-p,1e-09,35.0,5.9,0.4487989505128276,51,(-0.11205291761989576+0.07889934951424252j),(-0.060735815758214344-2.457656254668712e-08j),(0.02872024406264903-2.4701122251073467e-09j),(0.0939211790421868-0.0553448646436677j),(0.028720244062357604-2.020413770608675e-09j)
SS-p,1e-09,35.0,6.0,0.4487989505128276,51,(-0.08566076162736817+0.06774660334914916j),(-0.049159165931098196-2.7133057851000883e-08j),(0.022676388256474653-2.5424357810211917e-09j),(0.09497529146090979-0.057638208337534934j),(0.022676388255874674-2.0877736731818567e-09j)
SS-p,1e-09,35.0,6.1,0.4487989505128276,51,(-0.06036935701695002+0.05408353278797075j),(-0.036621384019961775-3.1628653308452914e-08j),(0.016134731780027667-2.63812870897901e-09j),(0.09528005309819694-0.05952451208561474j),(0.016134731780352976-2.1835841064356807e-09j)
SS-p,1e-09,35.0,6.2,0.4487989505128276,51,(-0.03643952309990931+0.03823753680688827j),(-0.023592681739119624-3.2780039903797544e-08j),(0.00934805415812746-2.608395698870698e-09j),(0.09495383043319455-0.06098243369282293j),(0.009348054157836697-2.1448743566743657e-09j)
SS-p,1e-09,35.0,6.3,0.4487989505128276,51,(-0.014063708949517077+0.020531857661138585j),(-0.010488276116472626-3.7050435886098875e-08j),(0.0025374791773362885-2.6997006806328794e-09j),(0.09410319707453223-0.06200240866489693j),(0.00253747917743845-2.2492394780304533e-09j)
SS-p,1e-09,35.0,6.4,0.4487989505128276,51,(0.006621451196755053+0.001280906246226978j),(0.00233466334538173-3.834027361068488e-08j),(-0.00410853717656965-2.6554264840706586e-09j),(0.09282323919821776-0.0625843648013195j),(-0.004108537176662734-2.201349922804642e-09j)
SS-p,1e-09,35.0,6.5,0.4487989505128276,51,(0.02552499928763468-0.019212828235847763j),(0.014577083348340503-4.02479577984307e-08j),(-0.010433694011011258-2.6410081000004644e-09j),(0.09119824522541845-0.06273587607094125j),(-0.010433694010807498-2.181791660604153e-09j)
SS-p,1e-09,35.0,6.6,0.4487989505128276,51,(0.04259356967726931-0.04066088239974313j),(0.025996106849972927-3.961367905505368e-08j),(-0.01631235907803827-2.5337812006274127e-09j),(0.08930257267874087-0.06247066287084029j),(-0.016312359078724366-2.078121473944081e-09j)
SS-p,1e-09,35.0,6.7,0.4487989505128276,51,(0.05780496845219552-0.0627903178275299j),(0.03640182923689209-3.8073760786420504e-08j),(-0.021647483560763986-2.4163780687899433e-09j),(0.08720153982851399-0.06180734881658017j),(-0.021647483563248297-1.967581983491221e-09j)
SS-p,1e-09,35.0,6.8,0.4487989505128276,51,(0.07116302476305882-0.08534487567943663j),(0.04565330578178754-3.612158755209716e-08j),(-0.026368168390971197-2.299411438559635e-09j),(0.08495228744551818-0.06076843168793561j),(-0.02636816839087537-1.8464812124713632e-09j)
SS-p,1e-09,35.0,6.9,0.4487989505128276,51,(0.08269339379441606-0.1080858850012581j),(0.0536540593230006-3.307163334179152e-08j),(-0.030427045158368145-2.173753388876322e-09j),(0.08260457429109076-0.059379392695780554j),(-0.03042704515823028-1.7203026100989558e-09j)
SS-p,1e-09,35.0,7.0,0.4487989505128276,51,(0.09244006482211435-0.13079300560701237j),(0.06034734679969418-3.057411212804355e-08j),(-0.0337975878579656-2.0734880102103136e-09j),(0.08020150324856677-0.05766792982278489j),(-0.033797587857916055-1.622644702316211e-09j)
SS-p,1e-09,35.0,7.1,0.4487989505128276,51,(0.10046237897291764-0.1532647925842104j),(0.06571133353855983-2.8031200953864292e-08j),(-0.03647142679714503-1.993540054854899e-09j),(0.07778015417465574-0.05566328712191089j),(-0.036471426797130294-1.5411165110314532e-09j)
SS-p,1e-09,35.0,7.2,0.4487989505128276,51,(0.10683240426928273-0.1753190959399661j),(0.06975429636368881-2.577003355544135e-08j),(-0.038455723959096515-1.900743567393796e-09j),(0.07537216497226557-0.05339564663492942j),(-0.03845572395911246-1.448803495401072e-09j)
SS-p,1e-09,35.0,7.3,0.4487989505128276,51,(0.11163258567901627-0.19679326970423758j),(0.07250996104618275-2.3549965570581604e-08j),(-0.039770649661277385-1.868300405196863e-09j),(0.07300424338731953-0.05089559870661295j),(-0.039770649661305786-1.412212622734715e-09j)
SS-p,1e-09,35.0,7.4,0.4487989505128276,51,(0.11495359647923167-0.2175441561187109j),(0.07403301880355179-2.1585753242305388e-08j),(-0.04044699196027718-1.838756284643332e-09j),(0.07069864290102244-0.04819365501227056j),(-0.04044699196030029-1.3816617117571454e-09j)
SS-p,1e-09,35.0,7.5,0.4487989505128276,51,(0.11689236363666056-0.23744787461077013j),(0.07439491768731024-1.9936906472817178e-08j),(-0.040523927270868884-1.857758359196949e-09j),(0.06847358859361467-0.045319838547244515j),(-0.040523927270873575-1.4102183402151947e-09j)
SS-p,1e-09,35.0,7.6,0.4487989505128276,51,(0.11755024770853126-0.2563993835010282j),(0.07367994839778497-1.916113917285841e-08j),(-0.04004696947671786-1.8861709801747176e-09j),(0.06634368925249601-0.04230331753012895j),(-0.0400469694767228-1.4377697650022927e-09j)
SS-p,1e-09,35.0,7.7,0.4487989505128276,51,(0.11703136649736454-0.2743118184348863j),(0.0719816843840295-1.7432628156316207e-08j),(-0.039066113544967584-1.8247311347675242e-09j),(0.06432030363239467-0.03917209751437782j),(-0.039066113544979755-1.3732353097825724e-09j)
