Hamiltonian,method,rtol,atol,a,b,c,omega,phi,localisation
OSC,BDF,0.001,1e-06,20,na,na,2.7627118644067794,0.0,0.5136184423935085
OSC,BDF,0.001,1e-06,20,na,na,2.8305084745762716,0.0,0.4840868354328859
OSC,BDF,0.001,1e-06,20,na,na,2.898305084745763,0.0,0.4729477834360377
OSC,BDF,0.001,1e-06,20,na,na,2.9661016949152543,0.0,0.4759339458768526
OSC,BDF,0.001,1e-06,20,na,na,3.0338983050847457,0.0,0.4974920590503615
OSC,BDF,0.001,1e-06,20,na,na,3.101694915254237,0.0,0.542673297398101
OSC,BDF,0.001,1e-06,20,na,na,3.1694915254237284,0.0,0.582409730194974
OSC,BDF,0.001,1e-06,20,na,na,3.23728813559322,0.0,0.659220615730479
OSC,BDF,0.001,1e-06,20,na,na,3.305084745762712,0.0,0.7378877644508364
OSC,BDF,0.001,1e-06,20,na,na,3.3728813559322037,0.0,0.8070151403059153
OSC,BDF,0.001,1e-06,20,na,na,3.440677966101694,0.0,0.8803988660756681
OSC,BDF,0.001,1e-06,20,na,na,3.5084745762711864,0.0,0.9633378963635876
OSC,BDF,0.001,1e-06,20,na,na,3.5762711864406778,0.0,0.955050907612662
OSC,BDF,0.001,1e-06,20,na,na,3.6440677966101696,0.0,0.9945046785847244
OSC,BDF,0.001,1e-06,20,na,na,3.7118644067796613,0.0,1.0059324819548474
OSC,BDF,0.001,1e-06,20,na,na,3.7796610169491527,0.0,0.9731309316277948
OSC,BDF,0.001,1e-06,20,na,na,3.8474576271186436,0.0,0.9536097970725376
OSC,BDF,0.001,1e-06,20,na,na,3.915254237288136,0.0,0.8949528447728118
OSC,BDF,0.001,1e-06,20,na,na,3.983050847457627,0.0,0.8461593288711206
OSC,BDF,0.001,1e-06,20,na,na,4.050847457627119,0.0,0.8063578775201131
OSC,BDF,0.001,1e-06,20,na,na,4.118644067796612,0.0,0.7362940088185295
OSC,BDF,0.001,1e-06,20,na,na,4.186440677966102,0.0,0.6589953427643901
OSC,BDF,0.001,1e-06,20,na,na,4.254237288135593,0.0,0.6224389252162092
OSC,BDF,0.001,1e-06,20,na,na,4.322033898305085,0.0,0.5637870282350844
OSC,BDF,0.001,1e-06,20,na,na,4.389830508474576,0.0,0.5176294753850675
OSC,BDF,0.001,1e-06,20,na,na,4.457627118644068,0.0,0.4790094755861588
OSC,BDF,0.001,1e-06,20,na,na,4.525423728813559,0.0,0.4576418713859746
OSC,BDF,0.001,1e-06,20,na,na,4.59322033898305,0.0,0.4154119671587808
OSC,BDF,0.001,1e-06,20,na,na,4.6610169491525415,0.0,0.3827466335934077
OSC,BDF,0.001,1e-06,20,na,na,4.728813559322034,0.0,0.3704851285395282
OSC,BDF,0.001,1e-06,20,na,na,4.796610169491527,0.0,0.36162288028113015
OSC,BDF,0.001,1e-06,20,na,na,4.864406779661016,0.0,0.35244865941033177
