form,a,b,c,omega,phi,N,localisation,hopping,onsite,next onsite,NNN,NNN overtop
MG,10.0,0.1,1.0,8.4,0.0,51.0,0.9021209888396254,0.9374833310596052,1.5753396634862813,-1.890781364565407,-0.20167018720921687,-0.05086556442736915
MG,10.0,0.1,1.0,8.4,1.5707963267948966,51.0,0.9021396979256506,0.911224500298456,1.5856534594991565,-1.958821796608544,-0.19087440981594173,-0.017993227681617388
MG,10.0,0.1,1.0,8.5,0.0,51.0,0.9020978256712664,0.9075506795335836,1.3656780325126072,-1.96153965328441,-0.20929974829435816,-0.012489439023000459
MG,10.0,0.1,1.0,8.5,1.5707963267948966,51.0,0.9021078107405064,0.911963818820453,1.4858019017187831,-2.0537152641316667,-0.19347683927537854,-0.01827400897319533
MG,10.0,0.1,1.0,8.6,0.0,51.0,0.9022268182857199,0.9170478048674159,1.3011611622802084,-2.0517629050018047,-0.20860617771223927,-0.014436479751914475
MG,10.0,0.1,1.0,8.6,1.5707963267948966,51.0,0.902226746430784,0.9126079905397564,1.3859893953898808,-2.14863546469031,-0.1962163826773869,-0.0185368573534196
MG,10.0,0.1,1.0,8.7,0.0,51.0,0.9024604543054536,0.9287911656650624,1.2561908752346789,-2.1432615142582416,-0.21286291424781914,-0.017656728567588167
MG,10.0,0.1,1.0,8.7,1.5707963267948966,51.0,0.9024540513983192,0.9131878906517864,1.2861755527935217,-2.243579991203656,-0.19896881866886132,-0.01879406280031996
MG,10.0,0.1,1.0,8.8,0.0,51.0,0.9027378259155092,0.9281399735234056,1.1585626348065283,-2.237804629167111,-0.2161535124330088,-0.018032631118633426
MG,10.0,0.1,1.0,8.8,1.5707963267948966,51.0,0.9027300388253244,0.91371817067874,1.186357727747111,-2.338547330192746,-0.20169209051586612,-0.019050903223688985
MG,10.0,0.1,1.0,8.9,0.0,51.0,0.9030056689130848,0.9340325052932852,1.083749741359086,-2.3339636709097924,-0.21800987274967487,-0.023621672976982748
MG,10.0,0.1,1.0,8.9,1.5707963267948966,51.0,0.9029988189932108,0.9141988488061892,1.0865449932588211,-2.4335360207724035,-0.2044080337287845,-0.019305956561885242
MG,10.0,0.1,1.0,9.0,0.0,51.0,0.9032285810147008,0.9321602813425812,0.9780683116297364,-2.4239319769726992,-0.22007732412095632,-0.01934083644050415
MG,10.0,0.1,1.0,9.0,1.5707963267948966,51.0,0.9032265121302259,0.9146308663650736,0.9867104768839264,-2.528545253678199,-0.20710080339515505,-0.019558881365464048
MG,10.0,0.1,1.0,9.1,0.0,51.0,0.9033963014065566,0.933611506569371,0.8865479073731101,-2.5210027824674275,-0.22249577502548565,-0.02334809199797916
MG,10.0,0.1,1.0,9.1,1.5707963267948966,51.0,0.9034009085571318,0.9150202500012088,0.8868868128399056,-2.623572765821351,-0.20978910451379235,-0.01981027350827914
MG,10.0,0.1,1.0,9.2,0.0,51.0,0.9035182929363246,0.9321690282603374,0.7827420026892933,-2.6121528503478757,-0.22466897122964505,-0.01992507497154729
MG,10.0,0.1,1.0,9.2,1.5707963267948966,51.0,0.9035262386826786,0.9153654321903106,0.7870518929029384,-2.7186186992926955,-0.2124701588610484,-0.02005949940157093
MG,10.0,0.1,1.0,9.3,0.0,51.0,0.9036093188740536,0.9328116753478076,0.6880841201637087,-2.708852490777561,-0.2271698546694985,-0.02299786934073164
MG,10.0,0.1,1.0,9.3,1.5707963267948966,51.0,0.9036179591420118,0.9156737618898004,0.6872221446623387,-2.8136807321389923,-0.21513944237944527,-0.020307699000180025
MG,10.0,0.1,1.0,9.4,0.0,51.0,0.9036834249194936,0.9316797746823476,0.585864802545312,-2.8008800050547977,-0.2295176389385073,-0.020444887493087784
MG,10.0,0.1,1.0,9.4,1.5707963267948966,51.0,0.9036924894509925,0.9159428988608032,0.5873834675814642,-2.908758966618867,-0.2178039923868036,-0.02055394493657493
MG,10.0,0.1,1.0,9.5,0.0,51.0,0.9037508062251198,0.9318577384251094,0.4890960141139248,-2.897070089345821,-0.23191911089201306,-0.02266612811794973
MG,10.0,0.1,1.0,9.5,1.5707963267948966,51.0,0.9037589284801624,0.9161795269387776,0.4875494486048459,-3.0038516366605816,-0.22045769003874469,-0.02079956906343057
MG,10.0,0.1,1.0,9.6,0.0,51.0,0.903813485240187,0.9308129091776786,0.387425422859572,-2.9899638936408324,-0.2343848342725171,-0.020889168217183264
MG,10.0,0.1,1.0,9.6,1.5707963267948966,51.0,0.9038217805693024,0.9163811428837142,0.3877067289834103,-3.0989585072082333,-0.22310665189801776,-0.021043162754941745
MG,10.0,0.1,1.0,9.7,0.0,51.0,0.9038698329980928,0.9295740249997664,0.2836041920661868,-3.0845816503821952,-0.23615960827711605,-0.020850420300212124
