a,omega,phi,N,localisation,hopping,onsite,next onsite,NNN,NNN overtop
5.0,4.5,0.4487989505128276,51.0,0.15960906969818084,0.30855055305873347,-0.5452240116670412,0.408212713793666,0.29050650199110256,-0.40821271379366153
5.0,4.5,0.5235987755982988,51.0,0.15977961137962585,0.28736530320760734,-0.5310230630073339,0.4154612745473833,0.2769149021087088,-0.4154612745473905
5.0,4.5,0.6283185307179586,51.0,0.15980190511716802,0.2546787346274188,-0.5116029238757582,0.4255704592009181,0.2564469638343028,-0.42557045920091147
5.0,4.5,0.7853981633974483,51.0,0.15935817497477464,0.20204595636212958,-0.48636386484514577,0.4384403229599628,0.22458648827810787,-0.4384403229599701
5.0,4.5,1.0471975511965976,51.0,0.1575201107080811,0.14550993074117624,-0.3112420667445078,0.33412516577403406,0.17129745069733604,-0.33412516577403273
5.0,4.5,1.5707963267948966,51.0,0.15167432297892225,0.06585333288007121,4.430713732222558e-07,1.1258770513957427e-07,7.043277785408203e-07,-1.1258771708401276e-07
5.0,4.6,0.0,51.0,0.15457336607541788,0.4062300496869897,-0.5998234052874891,0.37829197083252475,0.3211547540579536,-0.37829197083251986
5.0,4.6,0.4487989505128276,51.0,0.15774167524135124,0.34189175043143144,-0.5511359447361251,0.40366584458786303,0.2803758344972562,-0.4036658445878535
5.0,4.6,0.5235987755982988,51.0,0.1578909382591578,0.3208522510727133,-0.5379087297372882,0.4110541774706008,0.26751930751613356,-0.4110541774705968
5.0,4.6,0.6283185307179586,51.0,0.15789351680865837,0.2883912706089187,-0.51994187769503,0.42134819543370766,0.24809639805663294,-0.4213481954337113
5.0,4.6,0.7853981633974483,51.0,0.15744536926625605,0.23610524522317838,-0.4502816457118209,0.3881696911147025,0.2153792838962262,-0.3881696911147124
5.0,4.6,1.0471975511965976,51.0,0.15565346376180372,0.17946338976698015,-0.32366741314632724,0.33284387028115675,0.16656197828405833,-0.33284387028114776
5.0,4.6,1.5707963267948966,51.0,0.15015335173211064,0.10058209265545476,3.6586788722194237e-07,8.187068585531129e-08,6.886323704689413e-07,-8.187069736259947e-08
5.0,4.7,0.0,51.0,0.15344188505503073,0.4374071428368256,-0.5997268153732177,0.37221498713989776,0.3087255865042359,-0.3722149871399002
5.0,4.7,0.4487989505128276,51.0,0.1563988548340147,0.37374636463666944,-0.554065929298658,0.3978087931305208,0.27021086361758,-0.39780879313051576
5.0,4.7,0.5235987755982988,51.0,0.15653179682916307,0.35292538362708903,-0.5417477362569374,0.40522015808734907,0.2580214419936303,-0.4052201580873544
5.0,4.7,0.6283185307179586,51.0,0.15652531597616812,0.3207974339097229,-0.5251264712569836,0.4155473706249006,0.2395537361138463,-0.4155473706249025
5.0,4.7,0.7853981633974483,51.0,0.15610157098299024,0.2690336111154248,-0.45856003555522984,0.38717140551254536,0.2084682309259922,-0.38717140551255924
5.0,4.7,1.0471975511965976,51.0,0.1544273988419077,0.18597725657528505,-0.41872607439213433,0.3932725982258849,0.16133050643972255,-0.39327259822588445
