a,omega,phi,N,localisation,hopping,onsite,next onsite,NNN,NNN overtop
5.0,4.0,1.0471975511965976,51.0,0.18433923471848968,0.009944688042542758,,,,
5.0,4.0,1.5707963267948966,51.0,0.17613606032592016,-0.050297100688317636,,,,
5.0,4.1,0.0,51.0,0.1701019902293565,0.2256774881167465,,,,
5.0,4.1,0.4487989505128276,51.0,0.17583812690715522,0.17233032961874592,,,,
5.0,4.1,0.5235987755982988,51.0,0.17629892058811494,0.15445451614789835,,,,
5.0,4.1,0.6283185307179586,51.0,0.17664615793568428,0.12959346140627193,,,,
5.0,4.1,0.7853981633974483,51.0,0.17649855633148168,0.08517592318358634,,,,
5.0,4.1,1.0471975511965976,51.0,0.1746325258538768,0.04736580031489593,,,,
5.0,4.1,1.5707963267948966,51.0,0.16727346278805766,-0.019076566613503515,,,,
5.0,4.2,0.0,51.0,0.1648952161332516,0.26493829775107874,,,,
5.0,4.2,0.4487989505128276,51.0,0.1700005627936446,0.21082224687304427,,,,
5.0,4.2,0.5235987755982988,51.0,0.17038286010470444,0.1927158937115967,,,,
5.0,4.2,0.6283185307179586,51.0,0.17063811785963762,0.16439142404304408,,,,
5.0,4.2,0.7853981633974483,51.0,0.17039980008885042,0.11776922263917505,,,,
5.0,4.2,1.0471975511965976,51.0,0.16846402953328166,0.049222499268257065,,,,
5.0,4.2,1.5707963267948966,51.0,0.1611696120370749,0.01658195771529311,,,,
5.0,4.3,0.0,51.0,0.16113618326331014,0.30266475216801786,,,,
5.0,4.3,0.4487989505128276,51.0,0.16560264984273382,0.2478644661898385,,,,
5.0,4.3,0.5235987755982988,51.0,0.1659166003510645,0.2295499047102969,,,,
5.0,4.3,0.6283185307179586,51.0,0.16610054466513433,0.2009163535469097,,,,
5.0,4.3,0.7853981633974483,51.0,0.1658132195211249,0.15382216774126922,,,,
5.0,4.3,1.0471975511965976,51.0,0.1639473508082021,0.08499474982552803,,,,
5.0,4.3,1.5707963267948966,51.0,0.15716865218212872,0.03715064621042671,,,,
5.0,4.4,0.0,51.0,0.1583316880257158,0.3388254390727819,,,,
5.0,4.4,0.4487989505128276,51.0,0.1621965354445361,0.2738065250766252,,,,
5.0,4.4,0.5235987755982988,51.0,0.16243312859475895,0.2525526861053196,,,,
5.0,4.4,0.6283185307179586,51.0,0.16253133749432025,0.23652299631258786,,,,
5.0,4.4,0.7853981633974483,51.0,0.1621731633880986,0.18925417683813914,,,,
5.0,4.4,1.0471975511965976,51.0,0.16033612119738858,0.1107704586317068,,,,
